Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,5DE165DB26D8F03CEBF26FD70CFF294E0AF925DF,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.16.2.tar.gz,200,0.19.3,https://github.com/aide/aide/archive/refs/tags/v0.19.3.tar.gz,200,aide,1D84A9ABBF23D920964659205CD533A9DD51A5AB7A98CF19E51E669DC7E5D61E2838028DCF3B39CBC5C458024083E79D6E3F6563317D1D72530D83ED7BBF4EE1,aide-0.19.3.tar.gz,,
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.1.9.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.16.tar.bz2,200,alsa-lib,C10C5C1681BCBCCFF1A628A3758393DB17282BA3,alsa-lib-1.2.16.tar.bz2,,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.1.7.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.16.tar.bz2,200,alsa-utils,4786DF38CD517BDF73A8A9191FFD4658E94526B5,alsa-utils-1.2.16.tar.bz2,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,13.0.1,https://github.com/ansible-collections/community.general/archive/refs/tags/13.0.1.tar.gz,200,ansible-community-general,66375BC537B2FD6D9AD534208B0273D39A4D2D975E331C22BFA3F3DBB4A90EA8E64C6B2E878D684FE0011259D1F69599A93D7EC2DA0CAD0C9DB2F9C8F795E8F0,ansible-community-general-13.0.1.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.2.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.2.0.tar.gz,200,ansible-posix,13266D7CCCCE487C06CF89380CEBC0F731BB24BC44597F517295D7AD996DC4C869EE6B2FF3A601BF2F8E1913C708F848163A111A8E6BE706DBA1CA892242ECD1,ansible-posix-2.2.0.tar.gz,,
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.11.12.tar.gz,200,2.21.0,https://github.com/ansible/ansible/archive/refs/tags/v2.21.0.tar.gz,200,ansible,F46857DF63427D4B67AD88BD512D1E4DFD274A428A9F9FE72AD5A7DF6C68059AFA526F30A8E99571CD800DA6904014C0F06950FE2C682550855561DAD7637AFF,ansible-2.21.0.tar.gz,,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.17,https://github.com/apache/ant/archive/refs/tags/rel/1.10.17.tar.gz,200,apache-ant,808085E7245BDBD5692DE4AB966E63E0C9D93FD98F37D8A9248A8FD4526538B3948BDDBE66467CDB2660B2EDB8DD4F7C4CF36443CB01C6F306BCA8D80980E6B7,apache-ant-1.10.17.tar.gz,,
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,3.9.16,https://github.com/apache/maven/archive/refs/tags/maven-3.9.16.tar.gz,200,apache-maven,26CD5FE9A7D44B6368E4D4E421A54D1701C99176CD78B73D240716E740A480D612FA1795E6400177ED1810775F427B4CE74C8AF5FDF99E13322D8D7D9BA509A7,maven-3.9.16.tar.gz,,
