Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
python-boto.spec,https://files.pythonhosted.org/packages/source/b/boto/boto-%{version}.tar.gz,https://github.com/boto/boto/archive/refs/tags/2.49.0.tar.gz,200,(same version),,,python-boto,,
python-boto3.spec,https://github.com/boto/boto3/archive/boto3-%{version}.tar.gz,https://github.com/boto/boto3/archive/refs/tags/1.24.56.tar.gz,200,1.42.49,https://github.com/boto/boto3/archive/refs/tags/1.42.49.tar.gz,200,python-boto3,364C194B48058AF0C3D3DAF89B0D84C6FB13C1C64DF866B61169506ADACB7DD36EACAAECA38A3EE0EFE0B01C5887DA1A1219078318CF8E5238BDD9662E2D1339,python-boto3-1.42.49.tar.gz
python-botocore.spec,https://github.com/boto/botocore/archive/botocore-%{version}.tar.gz,https://github.com/boto/botocore/archive/refs/tags/1.27.56.tar.gz,200,1.42.49,https://github.com/boto/botocore/archive/refs/tags/1.42.49.tar.gz,200,python-botocore,C8D73ED693936F97D0B61A9C84C00C3671891AFE3173CAC3A9610831C02C82C2583C285F746EFBC884CB910F5F935A1A369991524B20EF79E7DC467D72497575,python-botocore-1.42.49.tar.gz
python-CacheControl.spec,CacheControl-%{version}.tar.gz,https://github.com/ionrock/cachecontrol/archive/refs/tags/v0.12.11.tar.gz,200,0.14.4,https://github.com/ionrock/cachecontrol/archive/refs/tags/v0.14.4.tar.gz,200,python-CacheControl,7DF31A334783B2D2C196D8F9D44B6C7DDD71D8AF1ED0EFF544E3DA5D9725111669AC739184DEE414504ACF66C8299D7F827FF1F3AF066A643CCEC3A55DCE8C83,python-CacheControl-0.14.4.tar.gz
python-cachetools.spec,https://files.pythonhosted.org/packages/a7/3f/ea907ec6d15f68ea7f381546ba58adcb298417a59f01a2962cb5e486489f/%{srcname}-%{version}.tar.gz,https://github.com/tkem/cachetools/archive/refs/tags/v5.4.0.tar.gz,200,7.0.1,https://github.com/tkem/cachetools/archive/refs/tags/v7.0.1.tar.gz,200,python-cachetools,9E5AB36C83C177214E96338502A3F021388C2DD85D09DB18982878E72B6FAB1B86B94AC5CFD0C332C05CE0358EC4FD81AA045BA9E02A95D536D49416B9B12E29,python-cachetools-7.0.1.tar.gz
python-cassandra-driver.spec,https://github.com/datastax/python-driver/archive/%{srcname}-%{version}.tar.gz,https://github.com/datastax/python-driver/archive/refs/tags/3.25.0.tar.gz,200,Warning: Manufacturer may changed version packaging format.,,,python-cassandra-driver,,
python-certifi.spec,https://github.com/certifi/python-certifi/archive/certifi-%{version}.tar.gz,https://github.com/certifi/python-certifi/archive/refs/tags/2023.11.17.tar.gz,200,2026.01.04,https://github.com/certifi/python-certifi/archive/refs/tags/2026.01.04.tar.gz,200,python-certifi,14422F1D4D05EAF890573E1FBD00382E41AC938BE4FBDD7C45CC4301AF82EA34E53B35BC317B14E58AFCCC716A868E79C45E64DA5BF7DF3F8D12BB49E2E56D37,python-certifi-2026.01.04.tar.gz
python-cffi.spec,https://pypi.python.org/packages/source/c/cffi/cffi-%{version}.tar.gz,https://github.com/python-cffi/cffi/archive/refs/tags/v1.15.1.tar.gz,200,2.0.0,https://github.com/python-cffi/cffi/archive/refs/tags/v2.0.0.tar.gz,200,python-cffi,A71B74E642E11EB50E9BB4AE0E7116BDB3C4A7C9622A3766D84506FA7994C02E09644B41B439B95CA99B0303E91891897CFF38018D498EB087E0961F0AD4FB8B,python-cffi-2.0.0.tar.gz
python-chardet.spec,https://github.com/chardet/chardet/archive/chardet-%{version}.tar.gz,https://github.com/chardet/chardet/archive/refs/tags/5.0.0.tar.gz,200,5.2.0,https://github.com/chardet/chardet/archive/refs/tags/5.2.0.tar.gz,200,python-chardet,3C6614882B251E53322EB75FDD01C3D7664C5F611BBFC1480FA10D57F02906B4BE42A8B7FF4D3BDC00465340A2CA46B31F1F0D25F64D4F69DF0AC0876E71E87F,python-chardet-5.2.0.tar.gz
python-charset-normalizer.spec,charset-normalizer-%{version}.tar.gz,https://github.com/Ousret/charset_normalizer/archive/refs/tags/2.1.1.tar.gz,200,3.4.4,https://github.com/Ousret/charset_normalizer/archive/refs/tags/3.4.4.tar.gz,200,python-charset-normalizer,825B57DDCB4410EE0C9CAEB236D0B7973CD4AF1F674806BDBF1BAC52E170EC1462E698C5ECA0F4A3988F9BB691E5F4B31F9F6A6A675B23411DE7CE4D652D6AE5,python-charset-normalizer-3.4.4.tar.gz
python-click.spec,https://github.com/pallets/click/archive/refs/tags/click-%{version}.tar.gz,https://github.com/pallets/click/archive/refs/tags/8.1.3.tar.gz,200,8.3.1,https://github.com/pallets/click/archive/refs/tags/8.3.1.tar.gz,200,python-click,CDE772DB5817B788CFB5A48959D46CB1EFC76DAD9C079767FEAFCE4E394C6A357DC4BF7E11DCEA5698871B5F5C3CCC734D189C91CBBCFF6F7A1A6B95C8680A54,python-click-8.3.1.tar.gz
python-ConcurrentLogHandler.spec,%{srcname}-%{version}.tar.gz,https://github.com/Preston-Landers/concurrent-log-handler/archive/refs/tags/0.9.20.tar.gz,200,0.9.28,https://github.com/Preston-Landers/concurrent-log-handler/archive/refs/tags/0.9.28.tar.gz,200,python-ConcurrentLogHandler,C8C2EC381228B742D0AFFA2BE160F93EC5F73ADCFA02044D2985E56F3420F4AA77C4DE97AE4CA486B57EDF0D4CDF7358BF16774F0B0A1EC0AE0D9A94D5568F21,python-ConcurrentLogHandler-0.9.28.tar.gz
python-configobj.spec,https://github.com/DiffSK/configobj/archive/refs/tags/configobj-%{version}.tar.gz,https://github.com/DiffSK/configobj/archive/refs/tags/v5.0.6.tar.gz,200,5.0.9,https://github.com/DiffSK/configobj/archive/refs/tags/v5.0.9.tar.gz,200,python-configobj,95CA81F785AACDD6C17B36B937E3338A8A72491EA153FC10DB3EB038332D389C6CEA0DCA4CC8DF803495E3D326E25E2E56A1741B84EA57C0159D38D3DED52FC0,python-configobj-5.0.9.tar.gz
python-configparser.spec,configparser-%{version}.tar.gz,https://github.com/jaraco/configparser/archive/refs/tags/5.3.0.tar.gz,200,Warning: Manufacturer may changed version packaging format.,,,python-configparser,,
python-constantly.spec,constantly-%{version}.tar.gz,https://github.com/twisted/constantly/archive/refs/tags/15.1.0.tar.gz,200,23.10.4,https://github.com/twisted/constantly/archive/refs/tags/23.10.4.tar.gz,200,python-constantly,41672B4B9292A6860FA3BAD815170CB7DA934CC12091ED4A2B85896370C7F7BBD18D363E40BA8AEF08C113082DE7B06662EAF7FB500F9B4BF7A6DB50CFC035C9,python-constantly-23.10.4.tar.gz
python-coverage.spec,https://files.pythonhosted.org/packages/source/c/coverage/coverage-%{version}.tar.gz,https://github.com/nedbat/coveragepy/archive/refs/tags/6.4.4.tar.gz,200,7.13.4,https://github.com/nedbat/coveragepy/archive/refs/tags/7.13.4.tar.gz,200,python-coverage,2666EEF24C45EB0711E956FB924E1F0A9F6DC9364076A5721AD822316D3CA7EF6616B4F32D40E12ABFF9D9675ACCB1C9E37FA83E33018900123A47245DEA879F,python-coverage-7.13.4.tar.gz
python-cqlsh.spec,https://files.pythonhosted.org/packages/source/c/cqlsh/%{srcname}-%{version}.tar.gz,https://github.com/jeffwidman/cqlsh/archive/refs/tags/6.1.2.tar.gz,200,6.2.0,https://github.com/jeffwidman/cqlsh/archive/refs/tags/6.2.0.tar.gz,200,python-cqlsh,80A3990DD05F6DEF466F97D753415DBF7EDEA35E556323A67367B8ED37D4EC47BA12615A315BA920C7773AABEF06BD4DB9CCDF480CC4EA706250B0B13D915721,python-cqlsh-6.2.0.tar.gz
python-cryptography.spec,https://pypi.io/packages/source/c/cryptography/cryptography-%{version}.tar.gz,https://github.com/pyca/cryptography/archive/refs/tags/41.0.7.tar.gz,200,46.0.5,https://github.com/pyca/cryptography/archive/refs/tags/46.0.5.tar.gz,200,python-cryptography,061755BB07524EDFC16890CD319396F509F1A7D265E6B8D323D701A94B26C990A2B91C1B6618276483FE13CF7868264E1B74AE88D7B50553AE98B8CC01E9C870,python-cryptography-46.0.5.tar.gz
python-daemon.spec,https://files.pythonhosted.org/packages/source/p/python-daemon/python-daemon-%{version}.tar.gz,https://pagure.io/python-daemon/archive/release/2.3.2/python-daemon-release/2.3.2.tar.gz,0,3.1.2,https://files.pythonhosted.org/packages/3d/37/4f10e37bdabc058a32989da2daf29e57dc59dbc5395497f3d36d5f5e2694/python_daemon-3.1.2.tar.gz,200,python-daemon,3901B9F14F11B8765EB31874FDB9410CBDA1425CE70D2702827FE4745B5B8FB93F23E9F71FAA6B0CA001745AEEA03C186C4E29D973CB12A5912340DAE6AA2EE0,python_daemon-3.1.2.tar.gz
python-dateutil.spec,https://pypi.python.org/packages/54/bb/f1db86504f7a49e1d9b9301531181b00a1c7325dc85a29160ee3eaa73a54/python-dateutil-%{version}.tar.gz,https://github.com/dateutil/dateutil/archive/refs/tags/2.8.2.tar.gz,200,2.9.0,https://github.com/dateutil/dateutil/archive/refs/tags/2.9.0.tar.gz,200,python-dateutil,32C8967E8EB53D0158604E77037DDFC47EA73A95EA27593A33FC6ABC26EE8DE9363C8EFADC04D1DE8D156A3AE059E84F03016B46DD5183D7C4150C77CDAFD32B,python-dateutil-2.9.0.tar.gz
python-decorator.spec,decorator-%{version}.tar.gz,https://github.com/micheles/decorator/archive/refs/tags/5.1.1.tar.gz,200,5.2.1,https://github.com/micheles/decorator/archive/refs/tags/5.2.1.tar.gz,200,python-decorator,2E4D8E79AEF229EB9620352DD0D8A938D7353261AA955085880638ACC34D88C310143FBF3E0F3518D3AD764975249FB7282DCE27F748EF03228DE7CC6E461C4B,python-decorator-5.2.1.tar.gz
python-deepmerge.spec,https://pypi.python.org/packages/source/n/deepmerge/deepmerge-%{version}.tar.gz,https://github.com/toumorokoshi/deepmerge/archive/refs/tags/v1.1.0.tar.gz,200,2.0,https://github.com/toumorokoshi/deepmerge/archive/refs/tags/v2.0.tar.gz,200,python-deepmerge,9580220D941226B7D5B27F8EFE2F7CAEEA58DA6D3AA48F2A20F54ADD75FB1F2802B17E16794F5E05F28C3943CF34CCBCB622C2073533201C5C66A4C44D0E4547,python-deepmerge-2.0.tar.gz
python-defusedxml.spec,defusedxml-%{version}.tar.gz,https://github.com/tiran/defusedxml/archive/refs/tags/v0.7.1.tar.gz,200,(same version),,,python-defusedxml,,
python-distlib.spec,https://files.pythonhosted.org/packages/58/07/815476ae605bcc5f95c87a62b95e74a1bce0878bc7a3119bc2bf4178f175/distlib-%{version}.tar.gz,https://github.com/pypa/distlib/archive/refs/tags/0.3.6.tar.gz,200,0.4.0,https://github.com/pypa/distlib/archive/refs/tags/0.4.0.tar.gz,200,python-distlib,FF61F9AB4E38061D5FEE3168C8B26C741A21403D793476477E0733B28B2BA5B1FB31AE6DDB5275EFE7AD6936B7E79A5E7EC1B160C86BFBFE6B4ECFF10E0193D2,python-distlib-0.4.0.tar.gz
python-distro.spec,https://files.pythonhosted.org/packages/ca/e3/78443d739d7efeea86cbbe0216511d29b2f5ca8dbf51a6f2898432738987/distro-%{version}.tar.gz,https://github.com/python-distro/distro/archive/refs/tags/v1.7.0.tar.gz,200,1.9.0,https://github.com/python-distro/distro/archive/refs/tags/v1.9.0.tar.gz,200,python-distro,9ED033E9FB0A5A531A93D85D8D3C0AFB67EC009B851146C76F819617CC13B28A6E6DC412899690BAEC2AA57D57389A347968C649EB99FEFA6F782340166F83C4,python-distro-1.9.0.tar.gz
python-dnspython.spec,https://files.pythonhosted.org/packages/source/d/dnspython/dnspython-%{version}.tar.gz,https://github.com/rthalley/dnspython/archive/refs/tags/v2.6.1.tar.gz,200,2.8.0,https://github.com/rthalley/dnspython/archive/refs/tags/v2.8.0.tar.gz,200,python-dnspython,982B821DA024EEC27AB31429AEF86DD0CCB376FD565E56A9C1254C081ACE00A619D2A3692A25CA48A94101A6F96F1426767EC70E55F6143A153213020AD83CF0,python-dnspython-2.8.0.tar.gz
python-docopt.spec,docopt-%{version}.tar.gz,https://github.com/docopt/docopt/archive/refs/tags/0.6.2.tar.gz,200,(same version),,,python-docopt,,
python-docutils.spec,https://files.pythonhosted.org/packages/source/d/docutils/%{srcname}-%{version}.tar.gz,https://altushost-swe.dl.sourceforge.net/project/docutils/docutils/0.19/docutils-0.19.tar.gz,200,,,,python-docutils,,
python-ecdsa.spec,https://pypi.python.org/packages/source/e/ecdsa/ecdsa-%{version}.tar.gz,https://github.com/tlsfuzzer/python-ecdsa/archive/refs/tags/python-ecdsa-0.18.0.tar.gz,200,0.19.1,https://github.com/tlsfuzzer/python-ecdsa/archive/refs/tags/python-ecdsa-0.19.1.tar.gz,200,python-ecdsa,196BD818405D8D26F2731B5651EAA7CFF595EF781798FD022E0FDDB217F7AC250C8ADE47CBDD7B449064F09D5B63654DDEEB6667E6E67BFB7FBBC465385D1809,python-ecdsa-0.19.1.tar.gz
python-email-validator.spec,https://github.com/JoshData/python-email-validator/archive/refs/tags/email_validator-%{version}.tar.gz,https://github.com/JoshData/python-email-validator/archive/refs/tags/v1.2.1.tar.gz,200,2.3.0,https://github.com/JoshData/python-email-validator/archive/refs/tags/v2.3.0.tar.gz,200,python-email-validator,BB5F33D14F69BFDF51B967778471FC261EABFD9187981E9488DB7918DAFC18A3E0F0528D6C394720F8222150F9FF8D2F6CC968CACA9804F220DFDB7199FA15CE,python-email-validator-2.3.0.tar.gz
