Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/releases/download/v0.16.2/aide-0.16.2.tar.gz,200,0.19.3,https://github.com/aide/aide/releases/download/v0.19.3/aide-0.19.3.tar.gz,200,aide,1D84A9ABBF23D920964659205CD533A9DD51A5AB7A98CF19E51E669DC7E5D61E2838028DCF3B39CBC5C458024083E79D6E3F6563317D1D72530D83ED7BBF4EE1,aide-0.19.3.tar.gz
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.1.9.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.1.7.tar.bz2,200,1.2.15.2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2,200,alsa-utils,13CA15A63BCBF81A4643EF03E391200D7523335BC300E290756089C4CFECCB9773CF6B77F9FCF4B80E6AA2E8C5E33A2C86C9173F1FEB480AEDF5ECDA0F7C47CD,alsa-utils-1.2.15.2.tar.bz2
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,12.3.0,https://github.com/ansible-collections/community.general/archive/refs/tags/12.3.0.tar.gz,200,ansible-community-general,FA13C04A8EE2502FABE2996946B7D98EE92C61A7A8E49DF8341EAD16A7799D4EAD0353CC74AE3046A27955EC2F270C316FA6CE104BCDAA50C9FC9A1B67B4A15D,ansible-community-general-12.3.0.tar.gz
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.1.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.1.0.tar.gz,200,ansible-posix,005F958F40239C2938486C2CCB39A35FF0BDA9208B0B7B52159AACD86375ECF118E726FD78ADB74443680F0DC1E5AE2FBF04116B735D22649E9EC0184175D094,ansible-posix-2.1.0.tar.gz
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.11.12.tar.gz,200,,,,ansible,,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,Info: Source0 contains a VMware internal url address.,,,ant-contrib,,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,,,,apache-ant,,
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,,,,apache-maven,,
