Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/%{version}/abseil-cpp-%{version}.tar.gz,substitution_unfinished,20260107.1,https://github.com/abseil/abseil-cpp/archive/20260107.1/abseil-cpp-20260107.1.tar.gz,200,abseil-cpp,F5012885D6B6844A9CF5ED92AD5468B8757DB33DFE1364BFB232FFF928E06C550C7EB4557F45186A8AC4D18B178DF9BE267681ABAB4A6DE40823B574AFBE9960,abseil-cpp-20260107.1.tar.gz,,
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,substitution_unfinished,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v%{version}.tar.gz,substitution_unfinished,0.19.3,,,aide,,,Warning: Manufacturer may changed version packaging format.,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-%{version}.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2,,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-%{version}.tar.bz2,200,1.2.15.2,,,alsa-utils,,,Warning: Manufacturer may changed version packaging format.,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-%{version}.tar.gz,substitution_unfinished,2025.Q2.1,,,amdvlk,,,Warning: Manufacturer may changed version packaging format.,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,,substitution_unfinished,,,,ansible-community-general,,,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{version}.tar.gz,substitution_unfinished,2.1.0,,,ansible-posix,,,Warning: Manufacturer may changed version packaging format.,
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v%{version}.tar.gz,substitution_unfinished,2.20.5,,,ansible,,,Warning: Manufacturer may changed version packaging format.,
ant-contrib.spec,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,http://apache.mirrors.lucidnetworks.net//ant/source/%{name}-%{version}-src.tar.gz,,substitution_unfinished,,,,apache-ant,,,,
apache-maven.spec,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,,apache-maven,,,apache-maven,,,Warning: Manufacturer may changed version packaging format.,
