Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,substitution_unfinished,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v%{version}.tar.gz,substitution_unfinished,0.19.3,https://github.com/aide/aide/releases/download/v0.19.3/aide-0.19.3.tar.gz,200,aide,1D84A9ABBF23D920964659205CD533A9DD51A5AB7A98CF19E51E669DC7E5D61E2838028DCF3B39CBC5C458024083E79D6E3F6563317D1D72530D83ED7BBF4EE1,aide-0.19.3.tar.gz,,
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-%{version}.tar.bz2,200,1.2.15.3,,,alsa-lib,,,Warning: Manufacturer may changed version packaging format.,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-%{version}.tar.bz2,200,1.2.15.2,,,alsa-utils,,,Warning: Manufacturer may changed version packaging format.,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/%{version}.tar.gz,substitution_unfinished,12.6.0,,,ansible-community-general,,,Warning: Manufacturer may changed version packaging format.,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{version}.tar.gz,substitution_unfinished,2.1.0,,,ansible-posix,,,Warning: Manufacturer may changed version packaging format.,
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v%{version}.tar.gz,substitution_unfinished,2.20.5,,,ansible,,,Warning: Manufacturer may changed version packaging format.,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/%{version}.tar.gz,substitution_unfinished,1.10.17,https://downloads.apache.org/ant/source/apache-ant-1.10.17-src.tar.gz,200,apache-ant,BA3F1CCF3A343B5CA1D9C9E69113B446AB94E7CBF9D8C47B4B4D0233789481CDB5C59E238515C1FD16E0DB7FBB8D0D077E2976BB6D89EAB315911E58D63644C2,apache-ant-1.10.17-src.tar.gz,,
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,,apache-maven,,,apache-maven,,,Warning: Manufacturer may changed version packaging format.,
