Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
etcd.spec,,3.5.12-2,3.5.30-1,3.6.9-1,3.5.12-10,,3.5.12-1,3.5.12-1,3.6.9-1
ethtool.spec,,4.18-1,5.10-1,6.1-4,6.1-2,,6.1-1,6.1-1,6.1-3
ethtool.spec,90,,,6.1-2.1.1,,,,,
ethtool.spec,91,,,,,,,,6.1-2.1
eventlog.spec,,0.2.12-4,0.2.12-4,,0.2.12-5,,,,
eventlog.spec,90,,,0.2.12-5.1.1,,,,,0.2.12-5.1.1
expat.spec,,2.2.9-12,2.8.1-1,2.8.1-1,2.7.3-1,,2.6.0-1,2.6.0-1,2.8.0-1
expect.spec,,5.45.4-2,5.45.4-2,5.45.4-4,5.45.4-4,,5.45.4-2,5.45.4-2,5.45.4-4
fail2ban.spec,,,1.0.2-2,1.1.0-2,1.0.2-6,,1.0.2-3,1.0.2-3,1.1.0-1
fail2ban.spec,90,,,1.0.2-6.1.1,,,,,
fail2ban.spec,91,,,,,,,,1.0.2-6.1
fakeroot-ng.spec,,0.18-3,0.18-3,,,,,,
fakeroot.spec,,,,1.37.1.1-1,1.37.1.1-1,,1.37.1.1-1,1.37.1.1-1,1.37.1.1-1
falco.spec,,0.31.1-10,0.36.2-3,0.39.2-2,,,,,0.39.2-1
falco.spec,91,,,0.36.2-18.1,,,,,0.36.2-18.1
fatrace.spec,,0.13-1,0.15-1,0.15-3,0.15-2,,0.15-1,0.15-1,0.15-3
fcgi.spec,,2.4.0-3,2.4.0-3,,,,,,
file.spec,,5.38-2,5.39-3,5.43-3,5.43-3,,5.43-1,5.43-1,5.43-3
filesystem.spec,,1.1-4,1.1-4,1.1-10,1.1-10,,1.1-4,1.1-4,1.1-10
findutils.spec,,4.6.0-6,4.7.0-1,4.9.0-7,4.9.0-4,,4.9.0-2,4.9.0-2,4.9.0-5
findutils.spec,90,,,4.9.0-4.1.1,,,,,
findutils.spec,91,,,,,,,,4.9.0-4.1
finger.spec,,0.17-2,0.17-3,,0.17-4,,0.17-3,0.17-3,0.17-4
finger.spec,90,,,0.17-4.1,,,,,
fio.spec,,3.30-1,3.33-3,3.33-8,3.33-6,,3.33-3,3.33-3,3.33-7
fio.spec,90,,,3.33-6.1.1,,,,,
fio.spec,91,,,,,,,,3.33-6.1
fipsify.spec,,1.0-4,,,,,,,
flannel.spec,,0.22.0-7,0.22.0-10,0.27.4-2,0.22.0-14,,0.22.0-7,0.22.0-7,0.27.4-2
flex.spec,,2.6.4-2,2.6.4-3,2.6.4-6,2.6.4-6,,2.6.4-3,2.6.4-3,2.6.4-6
fmt.spec,,,11.1.4-1,11.1.4-1,11.1.4-1,,,,11.1.4-1
font-util.spec,,1.3.2-1,1.3.2-1,1.3.3-2,1.3.3-2,,1.3.3-1,1.3.3-1,1.3.3-2
fontconfig.spec,,2.13.1-1,2.13.1-7,2.14.1-7,2.14.1-5,,2.14.1-4,2.14.1-4,2.14.1-6
fontconfig.spec,90,,,2.14.1-5.1.1,,,,,
fontconfig.spec,91,,,,,,,,2.14.1-5.1
fping.spec,,4.1-1,5.0-1,5.5-1,5.1-2,,5.1-1,5.1-1,5.1-3
fping.spec,90,,,5.1-3.0.1,,,,,
freetds.spec,,1.1.36-3,1.2.5-4,1.3.10-8,1.3.10-7,,1.3.10-6,1.3.10-6,1.3.10-8
freetype2.spec,,2.9.1-5,2.13.3-1,2.13.3-1,2.13.3-1,,2.13.0-1,2.13.0-1,2.13.3-1
fribidi.spec,,,1.0.9-3,1.0.12-3,1.0.12-3,,1.0.12-1,1.0.12-1,1.0.12-3
frr.spec,,,10.5.0-1,10.5.0-5,10.2.1-2,,9.1-1,9.1-1,10.5.0-3
frr.spec,90,,,10.5.0-2.1.1,,,,,
frr.spec,91,,,10.5.0-4.1,,,,,10.5.0-2.1
fsarchiver.spec,,0.8.5-2,0.8.5-2,0.8.6-5,0.8.6-3,,0.8.6-2,0.8.6-2,0.8.6-4
fsarchiver.spec,90,,,0.8.6-3.1.1,,,,,
fsarchiver.spec,91,,,,,,,,0.8.6-3.1
fuse-overlayfs-snapshotter.spec,,1.0.6-6,1.0.6-9,1.0.6-14,1.0.6-12,,1.0.6-5,1.0.6-5,1.0.6-13
fuse-overlayfs.spec,,1.9-1,1.12-1,1.12-3,1.12-2,,1.12-1,1.12-1,1.12-2
fuse-overlayfs.spec,90,,,1.12-2.0.1,,,,,
fuse.spec,,2.9.7-5,2.9.9-1,,2.9.9-4,,2.9.9-3,2.9.9-3,2.9.9-4
fuse.spec,90,,,2.9.9-4.0.1,,,,,
fuse3.spec,,3.2.6-2,3.9.4-5,3.18.2-1,3.12.0-4,,3.12.0-2,3.12.0-2,3.12.0-5
fuse3.spec,90,,,3.12.0-5.0.1,,,,,
gawk.spec,,4.2.1-2,5.1.1-1,5.3.2-4,5.1.1-6,,5.1.1-2,5.1.1-2,5.3.2-3
gawk.spec,90,,,5.1.1-6.1.1,,,,,
gawk.spec,91,,,,,,,,5.1.1-6.1
gc.spec,,8.0.4-2,8.0.4-2,8.2.2-3,8.2.2-3,,8.2.2-1,8.2.2-1,8.2.2-3
gcc-10.spec,,10.2.0-2,,,,,,,
gcc-12.spec,,,12.3.0-2,,,,,,
gcc.spec,,7.3.0-5,10.5.0-1,12.2.0-14,12.2.0-9,,12.2.0-2,12.2.0-2,12.2.0-12
gcc.spec,90,,,12.2.0-9.1.1,,,,,
gcc.spec,91,,,,,,,,12.2.0-9.1
GConf.spec,,,3.2.5-2,,3.2.6-3,,3.2.6-5,3.2.6-5,
GConf.spec,90,,,3.2.6-3.1,,,,,3.2.6-3.1
gcovr.spec,,4.1-3,,,,,5.2-3,5.2-3,
gdb.spec,,10.1-5,13.2-4,17.1-2,13.2-6,,11.2-9,11.2-9,17.1-1
gdb.spec,90,,,13.2-6.1.1,,,,,
gdb.spec,91,,,,,,,,13.2-6.1
gdbm.spec,,1.18-1,1.19-1,1.23-5,1.23-5,,1.23-2,1.23-2,1.23-5
gdk-pixbuf.spec,,,2.42.0-9,2.42.0-11,2.42.0-9,,2.42.0-4,2.42.0-4,2.42.0-11
gdk-pixbuf.spec,90,,,2.42.0-11.0.1,,,,,
geoip-api-c.spec,,1.6.12-1,1.6.12-2,,1.6.12-5,,1.6.12-4,1.6.12-4,
geoip-api-c.spec,90,,,1.6.12-5.1.1,,,,,1.6.12-5.1.1
geos.spec,,3.8.1-2,3.8.1-1,3.11.1-2,3.11.1-2,,3.11.1-1,3.11.1-1,3.11.1-2
getdns.spec,,,1.7.0-2,1.7.2-2,1.7.2-2,,1.7.2-2,1.7.2-2,1.7.2-2
gettext.spec,,0.19.8.1-5,0.21-7,0.21.1-7,0.21.1-7,,0.22.5-1,0.22.5-1,0.21.1-7
gflags.spec,,2.2.2-1,2.2.2-1,2.2.2-2,2.2.2-2,,2.2.2-1,2.2.2-1,2.2.2-2
git-lfs.spec,,2.12.0-26,3.2.0-10,3.7.1-2,3.7.1-1,,3.2.0-8,3.2.0-8,3.7.1-2
git.spec,,2.39.4-1,2.43.7-1,2.53.0-2,2.43.7-1,,2.45.1-1,2.45.1-1,2.53.0-1
git.spec,90,,,2.43.7-1.1.1,,,,,
git.spec,91,,,,,,,,2.43.7-1.1
glib-networking.spec,,2.59.1-6,2.66.0-9,2.74.0-8,2.74.0-5,,2.74.0-6,2.74.0-6,2.74.0-6
glib-networking.spec,90,,,2.74.0-6.1,,,,,
glib.spec,,2.58.3-2,2.68.4-8,2.88.0-4,2.75.2-10,,2.75.2-4,2.75.2-4,2.88.0-3
glib.spec,90,,,2.75.2-15.1.1,,,,,
glib.spec,91,,,,,,,,2.75.2-15.1
glibc.spec,,2.28-28,2.32-23,2.43-4,2.36-20,,2.38-1,2.38-1,2.43-1
glibc.spec,90,,,2.36-23.1.2,,,,,
glibc.spec,91,,,,,,,,2.36-23.1
glibmm.spec,,2.56.0-2,2.65.3-3,2.74.0-6,2.74.0-4,,2.74.0-1,2.74.0-1,2.74.0-5
glibmm.spec,90,,,2.74.0-4.1.1,,,,,
glibmm.spec,91,,,,,,,,2.74.0-4.1
glide.spec,,0.13.3-27,0.13.3-28,0.13.3-23,0.13.3-22,,0.13.3-15,0.13.3-15,0.13.3-23
glog.spec,,0.3.5-2,0.6.0-3,0.6.0-4,0.6.0-4,,0.6.0-3,0.6.0-3,0.6.0-4
glslang.spec,,,1.3.231.1-1,16.2.0-2,11.13.0-3,,11.13.0-2,11.13.0-2,16.2.0-1
glslang.spec,90,,,11.13.0-3.1.1,,,,,
glslang.spec,91,,,,,,,,11.13.0-3.1
gmp.spec,,6.1.2-3,6.2.0-1,6.2.1-5,6.2.1-5,,6.2.1-2,6.2.1-2,6.2.1-5
gnome-common.spec,,3.18.0-4,3.18.0-4,,3.18.0-5,,3.18.0-4,3.18.0-4,3.18.0-5
gnome-common.spec,90,,,3.18.0-5.1,,,,,
gnu-efi.spec,,,,3.0.15-3,3.0.15-3,,3.0.15-2,3.0.15-2,3.0.15-3
gnupg.spec,,2.2.18-4,2.2.23-6,2.2.41-4,2.2.41-3,,2.2.27-4,2.2.27-4,2.2.41-4
gnuplot.spec,,5.4.6-1,5.4.6-3,5.4.5-6,5.4.5-6,,5.4.5-3,5.4.5-3,5.4.5-6
gnutls.spec,,3.6.16-7,3.8.13-1,3.8.13-2,3.7.10-8,,3.8.4-1,3.8.4-1,3.8.13-1
gnutls.spec,90,,,3.8.13-1.1,,,,,
go-md2man.spec,,2.0.0-26,2.0.0-26,2.0.2-14,2.0.2-14,,2.0.2-8,2.0.2-8,2.0.2-14
go.spec,,1.20.14-4,1.22.12-3,1.26.1-2,1.24.5-1,,1.20.12-1,1.20.12-1,1.26.1-1
go.spec,90,,,1.24.13-2.2.1,,,,,
go.spec,91,,,,,,,,1.24.13-2.2
gobgp.spec,,2.9.0-27,2.20.0-29,4.2.0-2,3.1.0-20,,3.1.0-11,3.1.0-11,4.2.0-1
gobgp.spec,90,,,3.1.0-21.1.1,,,,,
gobgp.spec,91,,,,,,,,3.1.0-21.1
gobject-introspection.spec,,1.58.0-29,1.66.0-30,1.86.0-2,1.74.0-20,,1.74.0-12,1.74.0-12,1.86.0-1
gobject-introspection.spec,90,,,1.74.0-21.1.1,,,,,
gobject-introspection.spec,91,,,,,,,,1.74.0-21.1
google-benchmark.spec,,,,1.7.1-2,1.7.1-2,,1.7.1-1,1.7.1-1,1.7.1-2
google-compute-engine.spec,,20180905-1,20191210-3,,,,20191210-3,20191210-3,
google-guest-agent.spec,,,,20250122.00-5,20250122.00-4,,,,20250122.00-5
google-guest-configs.spec,,,,20250207.00-2,20250207.00-2,,,,20250207.00-2
google-guest-oslogin.spec,,,,20250123.00-2,20250123.00-2,,,,20250123.00-2
govmomi.spec,,0.28.0-14,0.28.0-18,0.29.0-18,0.29.0-17,,0.29.0-10,0.29.0-10,0.29.0-18
gperf.spec,,3.1-1,3.1-2,3.1-4,3.1-4,,3.1-2,3.1-2,3.1-4
gperftools.spec,,2.7-1,2.8-1,2.10-3,2.10-3,,2.10-2,2.10-2,2.10-3
gpgme.spec,,1.11.1-2,1.14.0-2,1.18.0-4,1.18.0-4,,1.18.0-3,1.18.0-3,1.18.0-4
gpsd.spec,,3.25-2,3.25-5,,3.25-5,,3.25-6,3.25-6,
gpsd.spec,90,,,3.25-7.1.1,,,,,3.25-7.1.1
gptfdisk.spec,,1.0.4-2,1.0.7-2,1.0.9-5,1.0.9-5,,1.0.9-3,1.0.9-3,1.0.9-5
graphene.spec,,,1.10.8-2,1.10.8-3,1.10.8-3,,1.10.8-2,1.10.8-2,1.10.8-3
graphene.spec,90,,,1.10.8-3.0.1,,,,,
grep.spec,,3.1-3,3.4-2,3.7-6,3.7-6,,3.7-3,3.7-3,3.7-6
groff.spec,,1.22.3-2,1.22.4-1,1.22.4-2,1.22.4-2,,1.22.4-1,1.22.4-1,1.22.4-2
grpc.spec,,1.15.1-3,1.59.3-3,1.59.5-4,1.59.5-3,,1.59.3-1,1.59.3-1,1.59.5-4
grub2-theme.spec,,,4.0-2,5.0-3,5.0-2,,5.0-1,5.0-1,5.0-3
grub2.spec,,2.06-10,2.06-16,2.12-6,2.12-1,,2.06-12,2.06-12,2.12-5
gssntlmssp.spec,,1.0.0-6,1.0.0-8,1.1.0-18,1.1.0-17,,1.1.0-15,1.1.0-15,1.1.0-18
gst-plugins-bad.spec,,,1.26.11-1,,1.25.1-2,,1.21.3-1,1.21.3-1,1.25.1-4
gst-plugins-bad.spec,90,,,1.25.1-4.2,,,,,
gstreamer-plugins-base.spec,,,1.26.11-1,,1.25.1-2,,1.21.3-2,1.21.3-2,1.25.1-2
gstreamer-plugins-base.spec,90,,,1.25.1-2.1,,,,,
gstreamer.spec,,,1.26.11-1,,1.25.1-2,,1.21.3-4,1.21.3-4,1.25.1-3
gstreamer.spec,90,,,1.25.1-2.1.1,,,,,
gstreamer.spec,91,,,,,,,,1.25.1-2.1
gtest.spec,,1.8.1-3,1.10.0-2,1.12.1-4,1.12.1-4,,1.12.1-2,1.12.1-2,1.12.1-4
gtk-doc.spec,,1.29-4,1.33.0-1,1.33.2-7,1.33.2-5,,1.33.2-3,1.33.2-3,1.33.2-6
gtk-doc.spec,90,,,1.33.2-5.1.1,,,,,
gtk-doc.spec,91,,,,,,,,1.33.2-5.1
gtk3.spec,,,3.23.3-16,,3.23.3-15,,3.23.3-10,3.23.3-10,3.23.3-17
gtk3.spec,90,,,3.23.3-17.1,,,,,
guile.spec,,2.0.13-3,2.0.13-4,2.2.7-7,2.2.7-7,,2.2.7-6,2.2.7-6,2.2.7-7
guile3.spec,,,,3.0.8-5,3.0.8-5,,3.0.8-3,3.0.8-3,3.0.8-5
gzip.spec,,1.12-2,1.12-2,1.12-4,1.12-4,,1.12-2,1.12-2,1.12-4
haproxy-dataplaneapi.spec,,1.2.5-26,,3.2.1-3,3.2.1-2,,2.7.1-13,2.7.1-13,3.2.1-3
haproxy.spec,,2.2.31-1,2.6.15-2,3.2.1-1,3.2.1-1,,2.8.2-1,2.8.2-1,3.2.1-1
harfbuzz.spec,,7.0.1-1,7.0.1-3,7.0.1-5,7.0.1-3,,7.0.1-2,7.0.1-2,7.0.1-4
harfbuzz.spec,90,,,7.0.1-3.1.1,,,,,
harfbuzz.spec,91,,,,,,,,7.0.1-3.1
haveged.spec,,1.9.8-1,1.9.18-1,1.9.18-3,1.9.18-3,,1.9.18-3,1.9.18-3,1.9.18-3
hawkey.spec,,2017.1-8,,,,,,,
hdparm.spec,,9.56-1,9.58-1,9.65-2,9.65-2,,9.65-1,9.65-1,9.65-2
heapster.spec,,1.5.4-30,1.5.4-29,1.5.4-23,1.5.4-23,,1.5.4-16,1.5.4-16,1.5.4-23
help2man.spec,,,,1.48.5-4,1.48.5-4,,1.48.5-2,1.48.5-2,1.48.5-4
hiredis.spec,,,1.0.2-3,1.1.0-7,1.1.0-5,,1.1.0-2,1.1.0-2,1.1.0-7
hiredis.spec,90,,,1.1.0-5.1.1,,,,,1.1.0-5.1.1
hostname.spec,,,,3.25-3,,,,,3.25-1
htop.spec,,,3.1.2-1,3.2.1-4,3.2.1-4,,3.2.1-2,3.2.1-2,3.2.1-4
http-parser.spec,,2.8.1-1,2.9.4-1,2.9.4-2,2.9.4-2,,2.9.4-1,2.9.4-1,2.9.4-2
httpd-mod_jk.spec,,1.2.48-9,1.2.48-12,1.2.48-15,1.2.48-15,,1.2.48-13,1.2.48-13,1.2.48-15
httpd.spec,,2.4.62-1,2.4.67-1,2.4.67-1,2.4.65-1,,2.4.62-2,2.4.62-2,2.4.67-1
hunspell.spec,,,,1.7.2-4,1.7.2-4,,1.7.2-1,1.7.2-1,1.7.2-4
hwdata.spec,,,,0.405-2,,,,,0.405-1
hwloc.spec,,,2.3.0-2,2.8.0-3,2.8.0-3,,2.8.0-1,2.8.0-1,2.8.0-3
hyper-v.spec,,4.9-1,5.9-1,6.1-2,6.1-2,,6.1-1,6.1-1,6.1-2
hyperscan.spec,,,5.4.0-1,5.4.0-7,5.4.0-5,,5.4.0-4,5.4.0-4,5.4.0-6
hyperscan.spec,90,,,5.4.0-5.1.1,,,,,
hyperscan.spec,91,,,,,,,,5.4.0-5.1
i2c-tools.spec,,,4.2-1,4.3-2,4.3-2,,4.3-1,4.3-1,4.3-2
iana-etc.spec,,2.30-2,20250711-1,20260529-1,20250711-1,,2.30-2,2.30-2,20250711-1
iana-etc.spec,90,,,20250711-1.1,,,,,
ibmtpm.spec,,1628-1,1637-4,20240802.183-2,1682-3,,1682-3,1682-3,20240802.183-1
ibmtpm.spec,90,,,1682-3.1,,,,,
ibmtpm.spec,91,,,,,,,,1682-3
icu.spec,,67.1-2,70.1-4,76.1-2,72.1-3,,72.1-1,72.1-1,76.1-1
icu.spec,90,,,72.1-3.1.1,,,,,
icu.spec,91,,,,,,,,72.1-3.1
ImageMagick.spec,,7.1.1.38-1,7.1.2.19-1,,7.1.2.8-1,,7.1.1.38-1,7.1.1.38-1,
ImageMagick.spec,90,,,7.1.2.19-1.1.1,,,,,7.1.2.19-1.1.1
influxdb.spec,,1.8.2-12,1.8.2-27,1.12.4-1,1.8.10-18,,1.8.10-3,1.8.10-3,1.8.10-19
influxdb.spec,90,,,1.8.10-19.0.1,,,,,
inih.spec,,,,56-3,56-3,,56-1,56-1,56-3
iniparser.spec,,,,4.1-3,4.1-3,,4.1-1,4.1-1,4.1-3
initramfs.spec,,2.0-7,2.0-7,2.0-9,2.0-9,,2.0-8,2.0-8,2.0-9
initscripts.spec,,9.70-3,10.04-2,10.17-6,10.17-4,,10.17-4,10.17-4,10.17-5
initscripts.spec,90,,,10.17-4.1.1,,,,,
initscripts.spec,91,,,,,,,,10.17-4.1
inotify-tools.spec,,3.13-3,3.13-2,4.25.9.0-2,3.13-4,,3.13-3,3.13-3,
inotify-tools.spec,90,,,3.13-4.1,,,,,3.13-4.1
intltool.spec,,0.51.0-3,0.51.0-5,0.51.0-8,0.51.0-8,,0.51.0-5,0.51.0-5,0.51.0-8
iotop-c.spec,,,,1.31-1,,,,,
iotop.spec,,0.6-7,0.6-8,,0.6-9,,0.6-8,0.6-8,0.6-10
iotop.spec,90,,,0.6-9.1.1,,,,,
iotop.spec,91,,,,,,,,0.6-9.1
ipcalc.spec,,0.4.1-1,0.4.1-1,1.0.2-2,1.0.2-2,,1.0.2-1,1.0.2-1,1.0.2-2
iperf.spec,,3.14-1,3.19.1-1,3.17.1-4,3.17.1-4,,3.17.1-1,3.17.1-1,3.17.1-4
ipmitool.spec,,1.8.18-3,1.8.18-7,1.8.19-6,1.8.19-6,,1.8.19-5,1.8.19-5,1.8.19-6
iproute2.spec,,4.19.0-2,5.10.0-4,6.12.0-2,6.0.0-2,,6.0.0-2,6.0.0-2,6.12.0-1
iproute2.spec,90,,,6.0.0-2.1.1,,,,,
iproute2.spec,91,,,,,,,,6.0.0-2.1
ipset.spec,,6.38-1,7.6-1,7.15-2,7.15-2,,7.15-1,7.15-1,7.15-2
iptables.spec,,1.8.3-8,1.8.9-4,1.8.13-3,1.8.9-6,,1.8.9-3,1.8.9-3,1.8.13-2
iptables.spec,90,,,1.8.9-6.1.1,,,,,
iptables.spec,91,,,,,,,,1.8.9-6.1
iptraf-ng.spec,,,1.2.2-1,1.2.2-1,1.2.1-4,,1.2.1-2,1.2.1-2,1.2.2-1
iptraf.spec,,3.0.1-3,,,,,,,
iputils.spec,,20180629-4,20200821-5,20250605-3,20250605-1,,20221126-3,20221126-3,20250605-2
iputils.spec,90,,,20250605-1.1.1,,,,,
iputils.spec,91,,,,,,,,20250605-1.1
ipvsadm.spec,,1.29-1,1.31-1,1.31-3,1.31-3,,1.31-2,1.31-2,1.31-3
ipxe.spec,,20180717-2,1.20.1-3,1.21.1-6,1.21.1-6,,1.21.1-5,1.21.1-5,1.21.1-6
irqbalance.spec,,1.4.0-6,1.7.0-4,1.9.2-2,1.9.2-2,,1.9.2-1,1.9.2-1,1.9.2-2
isa-l.spec,,,,2.31.1-2,2.31.1-2,,2.31.1-2,2.31.1-2,2.31.1-2
itstool.spec,,2.0.6-2,2.0.6-4,2.0.7-7,2.0.7-5,,2.0.7-3,2.0.7-3,2.0.7-6
itstool.spec,90,,,2.0.7-5.1.1,,,,,
itstool.spec,91,,,,,,,,2.0.7-5.1
ivykis.spec,,,0.42.4-1,0.42.4-2,0.42.4-2,,0.42.4-1,0.42.4-1,0.42.4-2
jansson.spec,,2.11-1,2.13.1-1,2.14.1-1,2.14.1-1,,2.13.1-1,2.13.1-1,2.14.1-1
jc.spec,,,1.23.6-1,1.23.6-5,1.23.6-3,,1.23.6-2,1.23.6-2,1.23.6-4
jc.spec,90,,,1.23.6-3.1.1,,,,,
jc.spec,91,,,,,,,,1.23.6-3.1
jemalloc.spec,,4.5.0-1,5.2.1-1,5.3.0-2,5.3.0-2,,5.3.0-1,5.3.0-1,5.3.0-2
jna.spec,,4.5.2-6,5.6.0-7,5.12.1-6,5.12.1-6,,5.12.1-4,5.12.1-4,5.12.1-6
jq.spec,,1.5-4,1.8.1-2,1.8.1-2,1.8.1-1,,1.6-3,1.6-3,1.8.1-2
js.spec,,1.8.5-3,,,,,,,
json_spirit.spec,,4.08-4,4.08-3,,,,,,
json-c.spec,,0.13.1-4,0.15-4,0.16-2,0.16-2,,0.16-1,0.16-1,0.16-2
json-glib.spec,,1.4.4-3,1.6.0-4,1.10.8-3,1.6.6-5,,1.6.6-2,1.6.6-2,1.10.8-1
json-glib.spec,90,,,1.6.6-5.1.1,,,,,
json-glib.spec,91,,,,,,,,1.6.6-5.1
jsoncpp.spec,,1.7.7-2,1.9.4-3,1.9.5-5,1.9.5-3,,1.9.5-2,1.9.5-2,1.9.5-4
jsoncpp.spec,90,,,1.9.5-3.1.1,,,,,
jsoncpp.spec,91,,,,,,,,1.9.5-3.1
kafka.spec,,3.4.0-2,3.9.2-1,4.1.2-2,3.9.1-5,,3.4.0-1,3.4.0-1,4.1.2-1
kafka.spec,90,,,3.9.1-7.1.1,,,,,
kafka.spec,91,,,,,,,,3.9.1-7.1
kapacitor.spec,,1.5.0-30,1.5.6-27,1.7.7-6,1.7.7-2,,1.6.6-6,1.6.6-6,1.7.7-6
kbd.spec,,2.0.4-4,2.3.0-2,2.2.0-3,2.2.0-3,,2.2.0-1,2.2.0-1,2.2.0-3
keepalived.spec,,2.2.7-1,2.2.7-2,2.2.7-6,2.2.7-4,,2.2.7-3,2.2.7-3,2.2.7-5
keepalived.spec,91,,,2.2.7-5.1,,,,,
kexec-tools.spec,,2.0.20-1,2.0.20-2,2.0.25-4,2.0.25-4,,2.0.25-3,2.0.25-3,2.0.25-4
keyutils.spec,,1.5.11-1,1.6.1-1,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2,1.6.1-3
kibana.spec,,6.8.15-1,,,,,,,
kmod.spec,,25-1,27-1,34.1-3,34.1-3,,30-5,30-5,34.1-3
kpatch.spec,,0.9.8-1,0.9.8-4,0.9.10-8,0.9.10-8,,0.9.8-5,0.9.8-5,0.9.10-8
krb5.spec,,1.17-7,1.17-15,1.20.2-13,1.20.2-10,,1.20.2-4,1.20.2-4,1.20.2-11
ktap.spec,,0.4-8,,,,,,,
kube-bench.spec,,0.6.12-6,0.6.12-9,0.13.0-2,0.6.12-15,,0.6.12-7,0.6.12-7,0.13.0-2
kube-controllers.spec,,3.6.1-29,,,,,,,
kubernetes-dashboard.spec,,2.7.0-6,2.7.0-20,2.7.0-30,2.7.0-24,,2.7.0-13,2.7.0-13,2.7.0-29
kubernetes-dashboard.spec,90,,,2.7.0-26.2.1,,,,,
kubernetes-dashboard.spec,91,,,,,,,,2.7.0-26.2
kubernetes-dns.spec,,1.22.23-6,1.22.23-2,1.22.23-4,1.22.23-2,,1.22.20-7,1.22.20-7,1.22.23-4
kubernetes-metrics-server.spec,,0.2.1-29,0.3.7-27,0.3.7-22,0.3.7-21,,0.3.7-14,0.3.7-14,0.3.7-22
kubernetes.spec,,1.27.13-2,1.27.16-3,1.34.1-2,1.27.16-5,,1.27.13-1,1.27.13-1,1.34.1-2
lapack.spec,,3.8.0-3,3.9.0-2,3.11.0-2,3.11.0-2,,3.11.0-1,3.11.0-1,3.11.0-2
lasso.spec,,,2.9.0-1,2.9.0-3,2.9.0-1,,2.8.0-8,2.8.0-8,2.9.0-2
lasso.spec,90,,,2.9.0-1.1.1,,,,,
lasso.spec,91,,,,,,,,2.9.0-1.1
less.spec,,530-3,654-1,654-4,654-4,,608-3,608-3,654-4
leveldb.spec,,1.20-2,1.22-3,1.23-7,1.23-7,,1.23-6,1.23-6,1.23-7
libaio.spec,,0.3.110-3,0.3.110-3,0.3.113-1,0.3.113-1,,0.3.110-3,0.3.110-3,0.3.113-1
libarchive.spec,,3.3.3-9,3.4.3-13,3.8.7-1,3.8.2-1,,3.7.4-1,3.7.4-1,3.8.7-1
libassuan.spec,,2.5.1-1,2.5.3-2,2.5.5-4,2.5.5-4,,2.5.5-3,2.5.5-3,2.5.5-4
libatomic_ops.spec,,7.6.8-2,7.6.10-2,7.6.14-3,7.6.14-3,,7.6.14-1,7.6.14-1,7.6.14-3
libbpf.spec,,0.1.1-1,1.1.0-1,1.7.0-2,1.2.2-2,,1.2.2-1,1.2.2-1,1.7.0-1
libbpf.spec,90,,,1.2.2-2.1.1,,,,,
libbpf.spec,91,,,,,,,,1.2.2-2.1
libbsd.spec,,,,0.12.2-2,0.12.2-2,,0.12.2-1,0.12.2-1,0.12.2-2
libcalico.spec,,0.19.0-3,,,,,,,
libcap-ng.spec,,0.7.10-2,0.8-2,0.8.3-6,0.8.3-4,,0.8.3-3,0.8.3-3,0.8.3-5
libcap-ng.spec,90,,,0.8.3-4.1.1,,,,,
libcap-ng.spec,91,,,,,,,,0.8.3-4.1
libcap.spec,,2.25-8,2.43-3,2.77-4,2.66-4,,2.66-1,2.66-1,2.77-3
libcap.spec,90,,,2.66-4.1.1,,,,,2.66-4.1.1
libcbor.spec,,,,0.9.0-3,0.9.0-3,,0.9.0-2,0.9.0-2,0.9.0-3
libcgroup.spec,,3.0.0-1,3.0.0-2,3.0.0-3,3.0.0-3,,3.0.0-1,3.0.0-1,3.0.0-3
libclc.spec,,,,,18.1.8-1,,,,
libclc.spec,90,,,18.1.8-1.1.1,,,,,
libclc.spec,91,,,,,,,,18.1.8-1.1
libconfig.spec,,1.5-2,1.7.2-1,1.7.3-2,1.7.3-2,,1.7.3-2,1.7.3-2,1.7.3-2
libdaemon.spec,,0.14-2,0.14-2,,0.14-4,,0.14-3,0.14-3,
libdaemon.spec,90,,,0.14-4.1,,,,,0.14-4.1
libdb.spec,,5.3.28-2,,,,,,,
libdisplay-info.spec,,,,0.3.0-2,,,,,0.3.0-1
libdnet.spec,,1.11-6,1.11-7,,1.11-8,,1.11-7,1.11-7,
libdnet.spec,90,,,1.11-8.1,,,,,1.11-8.1
libdrm.spec,,,2.4.110-3,2.4.125-1,2.4.125-1,,2.4.113-2,2.4.113-2,2.4.125-1
libecap.spec,,1.0.1-1,1.0.1-1,,1.0.1-2,,1.0.1-2,1.0.1-2,1.0.1-2
libecap.spec,90,,,1.0.1-2.1,,,,,
libedit.spec,,3.1.20180525-2,3.1.20210910-2,3.1.20221030-4,3.1.20221030-4,,3.1.20221030-2,3.1.20221030-2,3.1.20221030-4
libepoxy.spec,,,1.5.10-3,1.5.10-4,1.5.10-4,,1.5.10-3,1.5.10-3,1.5.10-4
libestr.spec,,0.1.11-2,0.1.11-2,0.1.11-3,0.1.11-3,,0.1.11-2,0.1.11-2,0.1.11-3
libev.spec,,4.24-2,4.33-3,4.33-3,4.33-3,,4.33-3,4.33-3,4.33-3
