Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
bash.spec,91,,,,,,,,5.2-10.1
basic.spec,,,,5.0-2,,,5.0-3,5.0-3,5.0-2
bats.spec,,,1.7.0-1,1.8.2-2,1.8.2-2,,1.8.2-1,1.8.2-1,1.8.2-2
bazel.spec,,6.1.2-2,6.1.2-5,9.0.1-1,5.3.2-7,,5.3.2-5,5.3.2-5,5.3.2-9
bazel.spec,90,,,5.3.2-7.1.1,,,,,
bazel.spec,91,,,,,,,,5.3.2-7.1
bc.spec,,1.07.1-3,1.07.1-4,1.07.1-5,1.07.1-5,,1.07.1-4,1.07.1-4,1.07.1-5
bcc.spec,,0.16.0-3,0.25.0-3,0.35.0-5,0.35.0-2,,0.28.0-1,0.28.0-1,0.35.0-4
bcc.spec,90,,,0.35.0-2.1.1,,,,,
bcc.spec,91,,,,,,,,0.35.0-2.1
bindutils.spec,,9.18.27-1,9.18.27-1,9.20.21-2,9.20.7-5,,9.20.0-1,9.20.0-1,9.20.7-6
bindutils.spec,90,,,9.20.7-6.1,,,,,
binutils-aarch64-linux-gnu.spec,,,2.35-7,,,,,,
binutils.spec,,2.32-13,2.35-18,2.39-15,2.39-14,,2.39-7,2.39-7,2.39-15
bison.spec,,3.1-1,3.7.6-1,3.8.2-6,3.8.2-6,,3.8.2-3,3.8.2-3,3.8.2-6
blktrace.spec,,1.2.0-3,1.2.0-3,1.3.0-3,1.3.0-3,,1.3.0-1,1.3.0-1,1.3.0-3
bluez-tools.spec,,0.2.0.20140808-3,0.2.0.20140808-4,,0.2.0.20140808-7,,0.2.0.20140808-7,0.2.0.20140808-7,
bluez-tools.spec,90,,,0.2.0.20140808-7.1.1,,,,,0.2.0.20140808-7.1.1
bluez.spec,,5.71-1,5.71-2,,5.71-3,,5.71-2,5.71-2,5.71-4
bluez.spec,90,,,5.71-3.1.1,,,,,
bluez.spec,91,,,,,,,,5.71-3.1
boost.spec,,1.66.0-1,1.74.0-2,1.80.0-3,1.80.0-3,,1.80.0-1,1.80.0-1,1.80.0-3
bpftrace.spec,,0.11.1-3,0.16.0-4,0.25.1-2,0.21.2-5,,0.18.0-3,0.18.0-3,0.25.1-1
bpftrace.spec,90,,,0.21.2-5.1.1,,,,,
bpftrace.spec,91,,,,,,,,0.21.2-5.1
bridge-utils.spec,,1.6-1,1.6-1,,1.7.1-2,,1.7.1-1,1.7.1-1,
