Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/releases/download/v0.16.2/aide-0.16.2.tar.gz,200,0.19.1,https://github.com/aide/aide/releases/download/v0.19.1/aide-0.19.1.tar.gz,200,aide,5F345458ACDC79072B8293EA19A6846F2F7AB2ECA36729FF1DC6FE06595A40F46AF5AAC57C8B02B4D144A4AD649B2A1D7F8E3BB216F0FA3D48A7023ABF0029B1,aide-0.19.1.tar.gz
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.1.9.tar.bz2,200,1.2.14,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.14.tar.bz2,200,alsa-lib,2716CC3A2299DA4A1A170D734AF082D78DC452B253179D0F1A9EC190140734AECF002B6924EEC4FF2699CE88CE1AE5C56821C267F36384910984DB726D1F9626,alsa-lib-1.2.14.tar.bz2
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.1.7.tar.bz2,200,1.2.14,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.14.tar.bz2,200,alsa-utils,DD470A2F5210822CC4D3DED094B84721A07904DF5C32DD329E0CB4C052D39E3E6D7DDB511CDE2D23B3F6824C71FBA9DBDCA369355D5C03B234E989DBBB9B7A95,alsa-utils-1.2.14.tar.bz2
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/ansible-community-general-5.6.0.tar.gz,0,Warning: Manufacturer may changed version packaging format.,,,ansible-community-general,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.1.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.1.0.tar.gz,200,ansible-posix,005F958F40239C2938486C2CCB39A35FF0BDA9208B0B7B52159AACD86375ECF118E726FD78ADB74443680F0DC1E5AE2FBF04116B735D22649E9EC0184175D094,ansible-posix-2.1.0.tar.gz
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.11.12.tar.gz,200,Warning: Manufacturer may changed version packaging format.,,,ansible,,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,Info: Source0 contains a VMware internal url address.,,,ant-contrib,,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.15,https://github.com/apache/ant/archive/refs/tags/rel/1.10.15.tar.gz,200,apache-ant,95BC3AB71CA2A669A1BA9B79CB474A251C8EEF5E430C87F2105E5E271D0879F8FD2C4DE86002EA2CEB956D80E7F04635A3437EC14A99661C4DCA40600D8DB030,apache-ant-1.10.15.tar.gz
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,3.9.11,https://github.com/apache/maven/archive/refs/tags/maven-3.9.11.tar.gz,200,apache-maven,D1C8F43045B965D37B88FF3FD40D556E19C2305A501B78CDCBF5AC4AC96EA72AAAAB69B39BFF3D9A092BFB25C0E1A5FB71C18A6A2392A234FB0386290DCB754E,maven-3.9.11.tar.gz
