Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
libldb.spec,https://www.samba.org/ftp/ldb/ldb-%{version}.tar.gz,https://gitlab.com/samba-team/devel/samba/-/archive/ldb-2.6.1/samba-ldb-2.6.1.tar.gz,200,2.9.2,https://gitlab.com/samba-team/devel/samba/-/archive/ldb-2.9.2/samba-ldb-2.9.2.tar.gz,200,libldb,0E59DA5EA89BC6B092FD1D0EB1A737B7F3BC578FF1DAF97EBF3A97986C0F125FDD966C656F051E75534FD5AD23226F3DDBED3FDE4C771F21733EEAD4096A3B2F,samba-ldb-2.9.2.tar.gz,,
liblogging.spec,http://download.rsyslog.com/liblogging/liblogging-%{version}.tar.gz,https://github.com/rsyslog/liblogging/archive/refs/tags/v1.0.6.tar.gz,200,1.0.8,https://github.com/rsyslog/liblogging/archive/refs/tags/v1.0.8.tar.gz,200,liblogging,FE7CC894702F90D0158EC29A102606D403D9FE1FFD214757C684174C24C623AC2D97EE6D5BB22292411A041A683D21BB25258C8963BF004C21A0EF220EFAD8FB,liblogging-1.0.8.tar.gz,,
libmbim.spec,https://www.freedesktop.org/software/libmbim/libmbim-%{version}.tar.xz,https://gitlab.freedesktop.org/mobile-broadband/libmbim/-/archive/1.26.2/libmbim-1.26.2.tar.gz,200,1.34.0,https://gitlab.freedesktop.org/mobile-broadband/libmbim/-/archive/1.34.0/libmbim-1.34.0.tar.gz,200,libmbim,,libmbim-1.34.0.tar.gz,,
libmd.spec,https://libbsd.freedesktop.org/releases/%{name}-%{version}.tar.xz,https://archive.hadrons.org/software/libmd/libmd-1.1.0.tar.xz,200,1.2.0,https://archive.hadrons.org/software/libmd/libmd-1.2.0.tar.xz,200,libmd,,libmd-1.2.0.tar.xz,,
libmicrohttpd.spec,https://ftp.gnu.org/gnu/libmicrohttpd/%{name}-%{version}.tar.gz,https://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/libmicrohttpd/libmicrohttpd-0.9.76.tar.gz,200,1.0.6,https://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/libmicrohttpd/libmicrohttpd-1.0.6.tar.gz,200,libmicrohttpd,2EFBDD7C4D0780BE2593C2719C7FB4307A0785E5994F35312ED57E766F12E2CB3AD61202238FEBD8483C3782D49935E715A965AE7B80FC10BCA8ABE58DBD1B65,libmicrohttpd-1.0.6.tar.gz,,
libmnl.spec,http://netfilter.org/projects/libmnl/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libmnl/files/libmnl-1.0.5.tar.bz2,200,(same version),,,libmnl,,,,
libmodulemd.spec,https://github.com/fedora-modularity/libmodulemd/archive/%{name}-%{version}.tar.gz,https://github.com/fedora-modularity/libmodulemd/archive/libmodulemd-2.14.0.tar.gz,200,2.15.3,https://github.com/fedora-modularity/libmodulemd/archive/libmodulemd-2.15.3.tar.gz,200,libmodulemd,07B8508AC11F2A7842F8546CB84BAF2492E191BFEF91924C0D8E9CE20F6C31B01F3EC5D1E26517969ACDFF3B0DE03599CC76E163058C1849824124CB5A0E228C,libmodulemd-2.15.3.tar.gz,,
libmspack.spec,http://www.cabextract.org.uk/libmspack/%{name}-%{version}.tar.gz,https://github.com/kyz/libmspack/archive/refs/tags/v0.10.1alpha.tar.gz,200,,,,libmspack,,,,
libndp.spec,,https://github.com/jpirko/libndp/archive/refs/tags/v1.8.tar.gz,200,1.9,https://github.com/jpirko/libndp/archive/refs/tags/v1.9.tar.gz,200,libndp,F1494E8413C022ED8AC93022C3FC3155622F1E7FD5A1D9A1A91986852565A5E620308FE525E1BA0FA549E677384D00F49EFBAD35A6B53765E52EC7CEE13D1FD5,libndp-1.9.tar.gz,,
libnetconf2.spec,https://github.com/CESNET/libnetconf2/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/CESNET/libnetconf2/archive/refs/tags/v2.1.18.tar.gz,200,4.4.10,https://github.com/CESNET/libnetconf2/archive/refs/tags/v4.4.10.tar.gz,200,libnetconf2,32CCED7FE4195E37BFC0B80FC7B94C44C150E6A379B203A0FE95C843A18F2CA25CD434401842210ED818A1C139C22F1AEC396A97D1D2E3ADE34EF286ACE0EE4E,libnetconf2-4.4.10.tar.gz,,
