Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/20230125.3/abseil-cpp-20230125.3.tar.gz,200,20260107.1,https://github.com/abseil/abseil-cpp/releases/download/20260107.1/abseil-cpp-20260107.1.tar.gz,200,abseil-cpp,F5012885D6B6844A9CF5ED92AD5468B8757DB33DFE1364BFB232FFF928E06C550C7EB4557F45186A8AC4D18B178DF9BE267681ABAB4A6DE40823B574AFBE9960,abseil-cpp-20260107.1.tar.gz,,
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.17.4.tar.gz,200,,,,aide,,,,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.3.2.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2,,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.3.tar.bz2,200,1.2.15.2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2,200,alsa-utils,13CA15A63BCBF81A4643EF03E391200D7523335BC300E290756089C4CFECCB9773CF6B77F9FCF4B80E6AA2E8C5E33A2C86C9173F1FEB480AEDF5ECDA0F7C47CD,alsa-utils-1.2.15.2.tar.bz2,,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.gz,200,2025.Q2.1,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2025.Q2.1.tar.gz,200,amdvlk,BCD3528660A4886D467546DB727355E5741A90F2354FA2CF6C0AD6574310DB9A5393CE9BD5ADF692C600CB8771D350C4F1420E089FA2D0B3D179197C95D98B26,amdvlk-2025.Q2.1.tar.gz,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,12.4.0,https://github.com/ansible-collections/community.general/archive/refs/tags/12.4.0.tar.gz,200,ansible-community-general,EB07BF4844B781FBD47FFBF4C241D4DCED5F9B18495A06371FA6C61CA17B9FC06175B83638051B61977589DC2D00F43854104BC6D864306EE26699F966851AAA,ansible-community-general-12.4.0.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,,,,ansible-posix,,,,
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.14.12.tar.gz,200,2.20.3,https://github.com/ansible/ansible/archive/refs/tags/v2.20.3.tar.gz,200,ansible,8D4EE0553E129A04871E42F40ED7D0426C35A323F5304F89C63BAD57846C081015F831B6FB482AF8929AC1F7D91B60A53094B5D617FDA00252C600DEB5856C84,ansible-2.20.3.tar.gz,,
ant-contrib.spec,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.broadcom.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
