Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
7zip.spec,%{name}-%{version}.tar.gz,,0,,,,7zip,,,,
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/20230125.3/abseil-cpp-20230125.3.tar.gz,200,,,,abseil-cpp,,,,
abupdate.spec,abupdate,,404,,,,abupdate,,,Info: Source0 contains a VMware internal url address.,
acl.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,,pinned,,,,acl,,,vendor-pinned (subrelease 91),
acl.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.4.0.tar.gz,200,(same version),,,acl,,,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.19.tar.gz,200,,,,aide,,,,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,,pinned,,,,alsa-lib,,,vendor-pinned (subrelease 91),
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.8.tar.bz2,200,1.2.16.1,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.16.1.tar.bz2,200,alsa-lib,2DDC5EEF7FAFE73BA6D8E4F79640A5AAA6E27AAC2C77075FDA9EE8AE61727BDDFCDA661E257057D8CF2F1647897D33153703F9BA913574AE7F1FBEC53DB3FA22,alsa-lib-1.2.16.1.tar.bz2,,
alsa-utils.spec,https://www.alsa-project.org/files/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.8.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.16.tar.bz2,200,alsa-utils,288C042F5ACB8A7CF1B0A0C25327C74E0BCE126124253BDB2D0DC2630B8BC80B5E5D694DE97738D031377FD82D887DB32AF1C4B27C6D940357B318D0A3EF02CF,alsa-utils-1.2.16.tar.bz2,,
alternatives.spec,https://github.com/fedora-sysv/chkconfig/archive/refs/tags/%{src_name}-%{version}.tar.gz,https://github.com/fedora-sysv/chkconfig/archive/refs/tags/chkconfig-1.32.tar.gz,404,1.33,,,alternatives,,,Warning: Manufacturer may changed version packaging format.,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,,pinned,,,,amdvlk,,,vendor-pinned (subrelease 90),
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.gz,200,2025.Q2.1,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2025.Q2.1.tar.gz,200,amdvlk,BCD3528660A4886D467546DB727355E5741A90F2354FA2CF6C0AD6574310DB9A5393CE9BD5ADF692C600CB8771D350C4F1420E089FA2D0B3D179197C95D98B26,amdvlk-2025.Q2.1.tar.gz,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,,pinned,,,,ansible-community-general,,,vendor-pinned (subrelease 90),
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/12.2.0.tar.gz,200,13.2.0,https://github.com/ansible-collections/community.general/archive/refs/tags/13.2.0.tar.gz,200,ansible-community-general,05AB8334B97DB124935DF12F38FC73B90A0ED9BD55C3A52E9D6B8BD6E937FC728D938475BDEAC5C6805A6888F171A4F5CC068BB05296F89297E364F02554C3F6,ansible-community-general-13.2.0.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,,pinned,,,,ansible-posix,,,vendor-pinned (subrelease 90),
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.1.0.tar.gz,200,2.2.2,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.2.2.tar.gz,200,ansible-posix,AE20B1685FDE3F068181386786BB62B90C3DB2F02C9D28993B5F58F07CBAFCE9E3D2DCE6681E103328C9A1A09293DD4D75B82EB1B5324CAF4E8CE72A0D911D1D,ansible-posix-2.2.2.tar.gz,,
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,,pinned,,,,ansible,,,vendor-pinned (subrelease 90),
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.20.4.tar.gz,200,2.21.2,https://github.com/ansible/ansible/archive/refs/tags/v2.21.2.tar.gz,200,ansible,76699F33DFEACE5448509E0B8CECE93CF9A385278063C09392E1FB31FF79E0CD1A50DEC6B4094E2A9F30F60630E1DC64D52B9DC0C67BF3C57A4539C8B4659F7E,ansible-2.21.2.tar.gz,,
ant-contrib.spec,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,,pinned,,,,ant-contrib,,,vendor-pinned (subrelease 90),
apache-ant.spec,http://apache.mirrors.lucidnetworks.net/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.17,https://github.com/apache/ant/archive/refs/tags/rel/1.10.17.tar.gz,200,apache-ant,808085E7245BDBD5692DE4AB966E63E0C9D93FD98F37D8A9248A8FD4526538B3948BDDBE66467CDB2660B2EDB8DD4F7C4CF36443CB01C6F306BCA8D80980E6B7,apache-ant-1.10.17.tar.gz,,
apache-maven.spec,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.9.0.tar.gz,200,3.9.16,https://github.com/apache/maven/archive/refs/tags/maven-3.9.16.tar.gz,200,apache-maven,26CD5FE9A7D44B6368E4D4E421A54D1701C99176CD78B73D240716E740A480D612FA1795E6400177ED1810775F427B4CE74C8AF5FDF99E13322D8D7D9BA509A7,maven-3.9.16.tar.gz,,
apache-tomcat-native.spec,https://dlcdn.apache.org/tomcat/tomcat-connectors/native/%{version}/source/tomcat-native-%{version}-src.tar.gz,https://github.com/apache/tomcat-native/archive/refs/tags/2.0.3.tar.gz,200,2.0.15,https://github.com/apache/tomcat-native/archive/refs/tags/2.0.15.tar.gz,200,apache-tomcat-native,9B9C7DE60D94E3D5F0592127EBBD947207B0F3A3D13ACA548F44AA3B38BD0A084FA244CCD8CA8746F720EF25134D891945E42828E429EE47758CA6349CDF7391,apache-tomcat-native-2.0.15.tar.gz,,
apparmor.spec,https://launchpad.net/%{name}/3.1/%{version}/+download/%{name}-%{version}.tar.gz,,pinned,,,,apparmor,,,vendor-pinned (subrelease 90),
apparmor.spec,https://launchpad.net/%{name}/4.1/%{version}/+download/%{name}-v%{version}.tar.gz,https://launchpad.net/apparmor/3.1/4.1.6/+download/apparmor-4.1.6.tar.gz,200,Warning: apparmor.spec Source0 version 4.1.6 is higher than detected latest version 4.1.0 .,,,apparmor,,,,
apr-util.spec,http://archive.apache.org/dist/apr/%{name}-%{version}.tar.gz,,pinned,,,,apr-util,,,vendor-pinned (subrelease 90),
apr.spec,http://archive.apache.org/dist/%{name}/%{name}-%{version}.tar.gz,https://github.com/apache/apr/archive/refs/tags/1.7.5.tar.gz,200,1.7.6,https://github.com/apache/apr/archive/refs/tags/1.7.6.tar.gz,200,apr,03D3D522AC2B4B1C110E3D9BBF14AA57CFE70D31C7C1CF206D4DEF737AFCDC901FF975B2B8DE0BBC23D3F85DE5E120C4CB74204E26EFC464107661701D652C8E,apr-1.7.6.tar.gz,,
argon2.spec,https://github.com/P-H-C/phc-winner-argon2/archive/refs/tags/%{name}-%{version}.tar.gz,,pinned,,,,argon2,,,vendor-pinned (subrelease 90),
asciidoc3.spec,https://asciidoc3.org/%{name}-%{version}.tar.gz,,pinned,,,,asciidoc3,,,vendor-pinned (subrelease 90),
asciidoc3.spec,https://asciidoc3.org/%{name}-%{version}.tar.gz,https://gitlab.com/asciidoc3/asciidoc3/-/archive/v3.2.3/asciidoc3-v3.2.3.tar.gz,200,(same version),,,asciidoc3,,,,
at-spi2-core.spec,http://ftp.gnome.org/pub/gnome/sources/%{name}/2.46/%{name}-%{version}.tar.xz,,pinned,,,,at-spi2-core,,,vendor-pinned (subrelease 90),
at-spi2-core.spec,http://ftp.gnome.org/pub/gnome/sources/%{name}/2.60/%{name}-%{version}.tar.xz,https://github.com/GNOME/at-spi2-core/archive/refs/tags/AT_SPI2_CORE_2.60.4.tar.gz,200,2.61.1,http://ftp.gnome.org/pub/gnome/sources/at-spi2-core/2.61/at-spi2-core-2.61.1.tar.xz,200,at-spi2-core,201E7ED8BEF8DDCDD0FF5C96AAF166EDEA95FB3D839C3BED9E5EF4778F6772AEAFF62768C3FE05D4EB145583C63FF8A55BF9C504FA818A4D12ABB7B3FACAF7DC,at-spi2-core-2.61.1.tar.xz,,
atftp.spec,http://sourceforge.net/projects/%{name}/files/latest/download/%{name}-%{version}.tar.gz,http://sourceforge.net/projects/atftp/files/latest/download/atftp-0.8.1.tar.gz,200,(same version),,,atftp,,,,
atk.spec,http://ftp.gnome.org/pub/gnome/sources/%{name}/2.16/%{name}-%{version}.tar.xz,,pinned,,,,atk,,,vendor-pinned (subrelease 90),
audit.spec,http://people.redhat.com/sgrubb/audit/%{name}-%{version}.tar.gz,,pinned,,,,audit,,,vendor-pinned (subrelease 90),
audit.spec,https://github.com/linux-audit/audit-userspace/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/linux-audit/audit-userspace/archive/refs/tags/v4.1.3.tar.gz,200,4.2.1,https://github.com/linux-audit/audit-userspace/archive/refs/tags/v4.2.1.tar.gz,200,audit,71C4AC50B471138DA866A82A0FA45970CF26181962F005AE570BDBB76E7CD15B66F8EBEBA75A075BF04E52B20D039F012E2BBF8B1055F44641C36897F132894D,audit-4.2.1.tar.gz,,
aufs-util.spec,%{name}-%{version}.tar.gz,,pinned,,,,aufs-util,,,vendor-pinned (subrelease 90),
authbind.spec,http://ftp.debian.org/debian/pool/main/a/%{name}/%{name}_%{version}.tar.gz,http://ftp.debian.org/debian/pool/main/a/authbind/authbind_2.1.3.tar.gz,200,2.2.0,http://ftp.debian.org/debian/pool/main/a/authbind/authbind_2.2.0.tar.gz,200,authbind,D0CC00CE18B2E0DA985D9EA00F50AB7931B58613C9B356AC288F3EE98CD27332BBA557CE827449399A57841D80F62050E9C9D344EF01909B5399E5A242D3CDA5,authbind_2.2.0.tar.gz,,
autoconf-archive.spec,http://ftp.gnu.org/gnu/%{name}/%{name}-%{version}.tar.xz,http://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/autoconf-archive/autoconf-archive-2022.09.03.tar.xz,200,2024.10.16,http://ftp.funet.fi/pub/gnu/ftp.gnu.org/gnu/autoconf-archive/autoconf-archive-2024.10.16.tar.xz,200,autoconf-archive,91140CB666447F12A1D39D7D42F5FE6EA3601BB586F466381C9E949087AAFA06AED8D061A4F5D020A3D234EB710E4BB47CD25380BCFFD8C423FA1A7AF05E988B,autoconf-archive-2024.10.16.tar.xz,,
autoconf.spec,http://ftp.gnu.org/gnu/autoconf/%{name}-%{version}.tar.xz,https://github.com/autotools-mirror/autoconf/archive/refs/tags/v2.71.tar.gz,200,2.73,https://github.com/autotools-mirror/autoconf/archive/refs/tags/v2.73.tar.gz,200,autoconf,DF2B3D3F1207F9678686757350121135D2B5EF60589ED1FD8B6ECAD7EF34CA83ABE031BCD51BDEE95454419B96D937302993C333DFD63E96FA8A0BC6977943D2,autoconf-2.73.tar.gz,,
