Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.16.2.tar.gz,200,,,,aide,,,,
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.1.9.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2,,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.1.7.tar.bz2,200,1.2.15.2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2,200,alsa-utils,13CA15A63BCBF81A4643EF03E391200D7523335BC300E290756089C4CFECCB9773CF6B77F9FCF4B80E6AA2E8C5E33A2C86C9173F1FEB480AEDF5ECDA0F7C47CD,alsa-utils-1.2.15.2.tar.bz2,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,,,,ansible-community-general,,,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,,,,ansible-posix,,,,
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.11.12.tar.gz,200,2.20.3,https://github.com/ansible/ansible/archive/refs/tags/v2.20.3.tar.gz,200,ansible,,ansible-2.20.3.tar.gz,,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.15,https://github.com/apache/ant/archive/refs/tags/rel/1.10.15.tar.gz,200,apache-ant,95BC3AB71CA2A669A1BA9B79CB474A251C8EEF5E430C87F2105E5E271D0879F8FD2C4DE86002EA2CEB956D80E7F04635A3437EC14A99661C4DCA40600D8DB030,apache-ant-1.10.15.tar.gz,,
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,3.9.12,https://github.com/apache/maven/archive/refs/tags/maven-3.9.12.tar.gz,200,apache-maven,B0A899319E1D28AFB07227F00509695A948B7708B37F30E48F46E9B56E825B35C9433E489FD0F563A7C309A1300CCE27F6BAFAD278047014406F344FE059EB29,maven-3.9.12.tar.gz,,
