Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,https://github.com/abseil/abseil-cpp/releases/download/20230125.3/abseil-cpp-20230125.3.tar.gz,200,20260526.0,https://github.com/abseil/abseil-cpp/releases/download/20260526.0/abseil-cpp-20260526.0.tar.gz,200,abseil-cpp,FE85EBDD451B126117DF1C3A312A1D5B29FC3557D07BB248854639B2A0180E91003FD2331A0D938F4FFEAE8966F1DF67A488FA3BDAB072E840BBFDC6E8A4F01B,abseil-cpp-20260526.0.tar.gz,,
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/archive/refs/tags/v0.17.4.tar.gz,200,0.10.,,,aide,,,Warning: Manufacturer may changed version packaging format.,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.3.2.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.16.tar.bz2,200,alsa-lib,988FAEE3DCF08F51CE2DACB924CF0DCDDEAE3E713D13F814FA53DBDECA77CE5966BFAD3C8711788C7F56327FB61D432B234127388372621897CB34F983D8CD31,alsa-lib-1.2.16.tar.bz2,,
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.3.tar.bz2,200,1.2.16,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.16.tar.bz2,200,alsa-utils,4786DF38CD517BDF73A8A9191FFD4658E94526B5,alsa-utils-1.2.16.tar.bz2,,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2023.Q1.3.tar.gz,200,2025.Q2.1,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/v-2025.Q2.1.tar.gz,200,amdvlk,BCD3528660A4886D467546DB727355E5741A90F2354FA2CF6C0AD6574310DB9A5393CE9BD5ADF692C600CB8771D350C4F1420E089FA2D0B3D179197C95D98B26,amdvlk-2025.Q2.1.tar.gz,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,13.0.1,https://github.com/ansible-collections/community.general/archive/refs/tags/13.0.1.tar.gz,200,ansible-community-general,66375BC537B2FD6D9AD534208B0273D39A4D2D975E331C22BFA3F3DBB4A90EA8E64C6B2E878D684FE0011259D1F69599A93D7EC2DA0CAD0C9DB2F9C8F795E8F0,ansible-community-general-13.0.1.tar.gz,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.2.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.2.0.tar.gz,200,ansible-posix,13266D7CCCCE487C06CF89380CEBC0F731BB24BC44597F517295D7AD996DC4C869EE6B2FF3A601BF2F8E1913C708F848163A111A8E6BE706DBA1CA892242ECD1,ansible-posix-2.2.0.tar.gz,,
ansible.spec,https://github.com/ansible/ansible/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.14.12.tar.gz,200,2.21.0,https://github.com/ansible/ansible/archive/refs/tags/v2.21.0.tar.gz,200,ansible,F46857DF63427D4B67AD88BD512D1E4DFD274A428A9F9FE72AD5A7DF6C68059AFA526F30A8E99571CD800DA6904014C0F06950FE2C682550855561DAD7637AFF,ansible-2.21.0.tar.gz,,
ant-contrib.spec,https://packages.broadcom.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.broadcom.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,http://apache.mirrors.lucidnetworks.net//ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.10.tar.gz,200,1.10.17,https://github.com/apache/ant/archive/refs/tags/rel/1.10.17.tar.gz,200,apache-ant,808085E7245BDBD5692DE4AB966E63E0C9D93FD98F37D8A9248A8FD4526538B3948BDDBE66467CDB2660B2EDB8DD4F7C4CF36443CB01C6F306BCA8D80980E6B7,apache-ant-1.10.17.tar.gz,,
