Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
libnetconf2.spec,https://github.com/CESNET/libnetconf2/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/CESNET/libnetconf2/archive/refs/tags/v2.1.18.tar.gz,200,3.5.5,https://github.com/CESNET/libnetconf2/archive/refs/tags/v3.5.5.tar.gz,200,libnetconf2,%{name},libnetconf2-3.5.5.tar.gz
libnetfilter_conntrack.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnetfilter_conntrack/files/libnetfilter_conntrack-1.0.8.tar.bz2,200,Warning: Manufacturer may changed version packaging format.,http://www.netfilter.org/projects/libnetfilter_conntrack/files/libnetfilter_conntrack-1_1.1.tar.bz2,0,libnetfilter_conntrack,%{name},
libnetfilter_cthelper.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnetfilter_cthelper/files/libnetfilter_cthelper-1.0.0.tar.bz2,200,1.0.1,https://netfilter.org/projects/libnetfilter_cthelper/files/libnetfilter_cthelper-1.0.1.tar.bz2,200,libnetfilter_cthelper,libnetfilter_cthelper,libnetfilter_cthelper-1.0.1.tar.bz2
libnetfilter_cttimeout.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnetfilter_cttimeout/files/libnetfilter_cttimeout-1.0.0.tar.bz2,200,1.0.1,https://netfilter.org/projects/libnetfilter_cttimeout/files/libnetfilter_cttimeout-1.0.1.tar.bz2,200,libnetfilter_cttimeout,libnetfilter_cttimeout,libnetfilter_cttimeout-1.0.1.tar.bz2
libnetfilter_queue.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnetfilter_queue/files/libnetfilter_queue-1.0.5.tar.bz2,200,(same version),,,libnetfilter_queue,%{name},
libnfnetlink.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnfnetlink/files/libnfnetlink-1.0.1.tar.bz2,200,1.0.2,https://netfilter.org/projects/libnfnetlink/files/libnfnetlink-1.0.2.tar.bz2,200,libnfnetlink,libnfnetlink,libnfnetlink-1.0.2.tar.bz2
libnftnl.spec,https://netfilter.org/projects/libnftnl/files/%{name}-%{version}.tar.bz2,https://netfilter.org/projects/libnftnl/files/libnftnl-1.2.1.tar.xz,404,1.2.8,https://netfilter.org/projects/libnftnl/files/libnftnl-1.2.8.tar.xz,200,libnftnl,%{name}-%{version},libnftnl-1.2.8.tar.xz
libnl.spec,https://github.com/thom311/libnl/releases/download/libnl3_5_0/%{name}-%{version}.tar.gz,https://github.com/thom311/libnl/archive/refs/tags/libnl3_5_0.tar.gz,200,3.11.0,https://github.com/thom311/libnl/archive/refs/tags/libnl3_11_0.tar.gz,200,libnl,,libnl3_11_0.tar.gz
libnsl.spec,https://github.com/thkukuk/libnsl/archive/v%{version}/libnsl-%{version}.tar.gz,https://github.com/thkukuk/libnsl/archive/v1.3.0/libnsl-1.3.0.tar.gz,200,2.0.1,https://github.com/thkukuk/libnsl/archive/v2.0.1/libnsl-2.0.1.tar.gz,200,libnsl,%{name},libnsl-2.0.1.tar.gz
libnss-ato.spec,%{name}-%{version}.tar.gz,https://github.com/donapieppo/libnss-atolibnss-ato-20201005.tar.gz,404,Warning: Cannot detect correlating tags from the repo provided.,,,libnss-ato,%{name},
libpcap.spec,http://www.tcpdump.org/release/%{name}-%{version}.tar.gz,https://github.com/the-tcpdump-group/libpcap/archive/refs/tags/libpcap-1.10.0.tar.gz,200,1.10.5,https://github.com/the-tcpdump-group/libpcap/archive/refs/tags/libpcap-1.10.5.tar.gz,200,libpcap,libpcap,libpcap-1.10.5.tar.gz
libpciaccess.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libpciaccess-0.13.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libpciaccess-0_18_1.tar.bz2,0,libpciaccess,libpciaccess,
libpipeline.spec,http://download.savannah.gnu.org/releases/libpipeline/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.3.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5_8.tar.gz,0,libpipeline,%{name},
libpng.spec,http://downloads.sourceforge.net/libpng/%{name}-%{version}.tar.xz,http://downloads.sourceforge.net/libpng/libpng-1.6.37.tar.xz,0,Warning: Manufacturer may changed version packaging format.,http://downloads.sourceforge.net/libpng/libpng-1.6_46.tar.xz,0,libpng,%{name},
libpsl.spec,https://github.com/rockdaboot/libpsl/releases/download/%{name}-%{version}/%{name}-%{version}.tar.gz,https://github.com/rockdaboot/libpsl/archive/refs/tags/0.21.1.tar.gz,200,0.21.5,https://github.com/rockdaboot/libpsl/archive/refs/tags/0.21.5.tar.gz,200,libpsl,%{name},libpsl-0.21.5.tar.gz
libpwquality.spec,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-%{version}/libpwquality-%{version}.tar.bz2,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-1.4.2/libpwquality-1.4.2.tar.bz2,200,1.4.5,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-1.4.5/libpwquality-1.4.5.tar.bz2,200,libpwquality,libpwquality,libpwquality-1.4.5.tar.bz2
libqmi.spec,https://www.freedesktop.org/software/libqmi/libqmi-%{version}.tar.xz,https://www.freedesktop.org/software/libqmi/libqmi-1.26.10.tar.xz,200,1.30.8,https://www.freedesktop.org/software/libqmi/libqmi-1.30.8.tar.xz,200,libqmi,%{name},libqmi-1.30.8.tar.xz
librdkafka.spec,%{name}-%{version}.tar.gz,https://github.com/edenhill/librdkafka/archive/refs/tags/v1.5.0.tar.gz,200,2.8.0,https://github.com/edenhill/librdkafka/archive/refs/tags/v2.8.0.tar.gz,200,librdkafka,%{name},librdkafka-2.8.0.tar.gz
librelp.spec,http://download.rsyslog.com/librelp/%{name}-%{version}.tar.gz,https://download.rsyslog.com/librelp/librelp-1.8.0.tar.gz,200,1.11.0,https://download.rsyslog.com/librelp/librelp-1.11.0.tar.gz,200,librelp,%{name},librelp-1.11.0.tar.gz
librepo.spec,https://github.com/rpm-software-management/librepo/archive/%{name}-%{version}.tar.gz,https://github.com/rpm-software-management/librepo/archive/refs/tags/1.14.2.tar.gz,200,1.19.0,https://github.com/rpm-software-management/librepo/archive/refs/tags/1.19.0.tar.gz,200,librepo,%{name}-%{version},librepo-1.19.0.tar.gz
librsync.spec,https://github.com/librsync/librsync/archive/%{name}-%{version}.tar.gz,https://github.com/librsync/librsync/archive/refs/tags/v2.3.1.tar.gz,200,2.3.4,https://github.com/librsync/librsync/archive/refs/tags/v2.3.4.tar.gz,200,librsync,%{name},librsync-2.3.4.tar.gz
libseccomp.spec,https://github.com/seccomp/libseccomp/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/seccomp/libseccomp/releases/download/v2.5.0/libseccomp-2.5.0.tar.gz,200,2.6.0,https://github.com/seccomp/libseccomp/releases/download/v2.6.0/libseccomp-2.6.0.tar.gz,200,libseccomp,%{name},libseccomp-2.6.0.tar.gz
libselinux.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/archive/refs/tags/libselinux-3.3.tar.gz,200,3.8,https://github.com/SELinuxProject/selinux/archive/refs/tags/libselinux-3.8.tar.gz,200,libselinux,%{name},libselinux-3.8.tar.gz
libsemanage.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/releases/download/3.3/libsemanage-3.3.tar.gz,200,3.8,https://github.com/SELinuxProject/selinux/releases/download/3.8/libsemanage-3.8.tar.gz,200,libsemanage,%{name},libsemanage-3.8.tar.gz
libsepol.spec,https://github.com/SELinuxProject/selinux/releases/download/%{version}/%{name}-%{version}.tar.gz,https://github.com/SELinuxProject/selinux/releases/download/3.3/libsepol-3.3.tar.gz,200,3.8,https://github.com/SELinuxProject/selinux/releases/download/3.8/libsepol-3.8.tar.gz,200,libsepol,%{name},libsepol-3.8.tar.gz
libsigc++.spec,http://ftp.gnome.org/pub/GNOME/sources/libsigc++/3.0/%{name}-%{version}.tar.xz,https://github.com/libsigcplusplus/libsigcplusplus/archive/refs/tags/3.0.4.tar.xz,200,Warning: Manufacturer may changed version packaging format.,http://ftp.gnome.org/pub/GNOME/sources/libsigc++/3.6/libsigc++-3_6_0.tar.xz,0,libsigc++,libsigc,
libslirp.spec,https://gitlab.com/qemu-project/libslirp/-/archive/v%{version}/%{name}-v%{version}.tar.gz,https://gitlab.com/qemu-project/libslirp/-/archive/v4.7.0/libslirp-v4.7.0.tar.gz,200,4.9.0,https://gitlab.com/qemu-project/libslirp/-/archive/v4.9.0/libslirp-v4.9.0.tar.gz,200,libslirp,%{name}-v%{version},libslirp-v4.9.0.tar.gz
libsodium.spec,https://download.libsodium.org/libsodium/releases/%{name}-%{version}-stable.tar.gz,https://download.libsodium.org/libsodium/releases/libsodium-1.0.18-stable.tar.gz,200,1.0.20,https://download.libsodium.org/libsodium/releases/libsodium-1.0.20-stable.tar.gz,200,libsodium,%{name},libsodium-1.0.20-stable.tar.gz
libsolv.spec,https://github.com/openSUSE/libsolv/archive/%{name}-%{version}.tar.gz,https://github.com/openSUSE/libsolv/archive/refs/tags/0.7.19.tar.gz,200,0.7.31,https://github.com/openSUSE/libsolv/archive/refs/tags/0.7.31.tar.gz,200,libsolv,%{name},libsolv-0.7.31.tar.gz
libsoup.spec,http://ftp.gnome.org/pub/GNOME/sources/libsoup/%{maj_ver}/%{name}-%{version}.tar.xz,https://github.com/GNOME/libsoup/archive/refs/tags/2.72.0.tar.xz ,200,Warning: Manufacturer may changed version packaging format.,http://ftp.gnome.org/pub/GNOME/sources/libsoup/%{maj_ver}/libsoup-3_6_4.tar.xz,0,libsoup,%{name},
libssh.spec,https://www.libssh.org/files/0.10/%{name}-%{version}.tar.xz,https://www.libssh.org/files/0.10/libssh-0.10.6.tar.xz,200,,,,libssh,%{name},
libssh2.spec,https://www.libssh2.org/download/libssh2-%{version}.tar.gz,https://github.com/libssh2/libssh2/archive/refs/tags/libssh2-1.11.0.tar.gz,200,1.11.1,https://github.com/libssh2/libssh2/archive/refs/tags/libssh2-1.11.1.tar.gz,200,libssh2,libssh2,libssh2-1.11.1.tar.gz
libtalloc.spec,https://www.samba.org/ftp/talloc/talloc-%{version}.tar.gz,https://www.samba.org/ftp/talloc/talloc-2.4.0.tar.gz,200,,,,libtalloc,talloc,
libtar.spec,http://repo.or.cz/libtar.git/snapshot/refs/tags/%{name}-%{version}.tar.gz,https://github.com/tklauser/libtar/archive/refs/tags/v1.2.20.tar.gz,200,Warning: repo isn't maintained anymore. See https://sources.debian.org/patches/libtar,,,libtar,libtar,
libtasn1.spec,http://ftp.gnu.org/gnu/libtasn1/%{name}-%{version}.tar.gz,http://ftp.gnu.org/gnu/libtasn1/libtasn1-4.14.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://ftp.gnu.org/gnu/libtasn1/libtasn1-4_20_0.tar.gz,0,libtasn1,%{name},
libtdb.spec,http://samba.org/ftp/tdb/tdb-%{version}.tar.gz,,0,,,,libtdb,tdb,
libteam.spec,http://libteam.org/files/%{name}-%{version}.tar.gz,https://github.com/jpirko/libteam/archive/refs/tags/v1.31.tar.gz,200,1.32,https://github.com/jpirko/libteam/archive/refs/tags/v1.32.tar.gz,200,libteam,%{name},libteam-1.32.tar.gz
libtevent.spec,http://samba.org/ftp/tevent/tevent-%{version}.tar.gz,,0,,,,libtevent,tevent,
libtiff.spec,https://download.osgeo.org/%{name}/tiff-%{version}.tar.xz,https://download.osgeo.org/libtiff/tiff-4.5.1.tar.xz,200,,,,libtiff,tiff,
libtirpc.spec,http://downloads.sourceforge.net/project/libtirpc/libtirpc/0.3.2/%{name}-%{version}.tar.bz2,http://downloads.sourceforge.net/project/libtirpc/libtirpc/0.3.2/libtirpc-1.2.6.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://downloads.sourceforge.net/project/libtirpc/libtirpc/0.3.2/libtirpc-1_3_6.tar.bz2,0,libtirpc,%{name},
libtool.spec,http://ftp.gnu.org/gnu/libtool/%{name}-%{version}.tar.xz,http://ftp.gnu.org/gnu/libtool/libtool-2.4.6.tar.xz,0,Warning: Manufacturer may changed version packaging format.,http://ftp.gnu.org/gnu/libtool/libtool-2_5_4.tar.xz,0,libtool,libtool,
libunistring.spec,http://ftp.gnu.org/gnu/libunistring/%{name}-%{version}.tar.xz,http://ftp.gnu.org/gnu/libunistring/libunistring-0.9.10.tar.xz,0,Warning: Manufacturer may changed version packaging format.,http://ftp.gnu.org/gnu/libunistring/libunistring-1_3.tar.xz,0,libunistring,%{name},
libunwind.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/libunwind/libunwind-1.4.0.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://download.savannah.gnu.org/releases/libunwind/libunwind-1_6_2.tar.gz,0,libunwind,libunwind,
libusb.spec,http://downloads.sourceforge.net/libusb/libusb-%{version}.tar.bz2,http://downloads.sourceforge.net/libusb/libusb-1.0.23.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://downloads.sourceforge.net/libusb/libusb-1.0_27.tar.bz2,0,libusb,%{name},
libuv.spec,https://github.com/libuv/libuv/archive/%{name}-%{version}.tar.gz,https://github.com/libuv/libuv/archive/refs/tags/v1.45.0.tar.gz,200,1.50.0,https://github.com/libuv/libuv/archive/refs/tags/v1.50.0.tar.gz,200,libuv,libuv,libuv-1.50.0.tar.gz
libvirt.spec,http://libvirt.org/sources/%{name}-%{version}.tar.xz,https://github.com/libvirt/libvirt/archive/refs/tags/v7.10.0.tar.xz,200,Warning: Manufacturer may changed version packaging format.,http://libvirt.org/sources/libvirt-11_0_0.tar.xz,0,libvirt,%{name},
libwebp.spec,https://github.com/webmproject/%{name}/archive/%{name}-%{version}.tar.gz,https://github.com/webmproject/libwebp/archive/refs/tags/v1.1.0.tar.gz,200,1.5.0,https://github.com/webmproject/libwebp/archive/refs/tags/v1.5.0.tar.gz,200,libwebp,libwebp,libwebp-1.5.0.tar.gz
libX11.spec,https://github.com/freedesktop/xorg-libX11/archive/refs/tags/%{name}-%{version}.tar.gz,https://gitlab.freedesktop.org/xorg/lib/libx11/-/archive/libX11-1.8.5/libx11-libX11-1.8.5.tar.gz,200,1.8.11,https://gitlab.freedesktop.org/xorg/lib/libx11/-/archive/libX11-1.8.11/libx11-libX11-1.8.11.tar.gz,200,libX11,%{name},libx11-libX11-1.8.11.tar.gz
libXau.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXau-1.0.9.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXau-1.0_12.tar.bz2,0,libXau,libXau,
libxcb.spec,http://xcb.freedesktop.org/dist/%{name}-%{version}.tar.gz,http://xcb.freedesktop.org/dist/libxcb-1.15.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://xcb.freedesktop.org/dist/libxcb-1_17_0.tar.gz,0,libxcb,libxcb,
libXcomposite.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXcomposite-0.4.5.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXcomposite-0.4_6.tar.bz2,0,libXcomposite,%{name},
libXcursor.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.gz,http://ftp.x.org/pub/individual/lib/libXcursor-1.2.1.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXcursor-1.2_3.tar.gz,0,libXcursor,%{name},
libXdamage.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXdamage-1.1.5.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXdamage-1.1_6.tar.bz2,0,libXdamage,%{name},
libXdmcp.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXdmcp-1.1.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXdmcp-1.1_5.tar.bz2,0,libXdmcp,libXdmcp,
libXext.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXext-1.3.4.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXext-1.3_6.tar.bz2,0,libXext,libXext,
libXfixes.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXfixes-5.0.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXfixes-6_0_1.tar.bz2,0,libXfixes,%{name},
libXfont2.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXfont2-2.0.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXfont2-2.0_7.tar.bz2,0,libXfont2,%{name},
libXi.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXi-1.7.10.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXi-1_8_2.tar.bz2,0,libXi,%{name},
libXinerama.spec,http://pub/individual/lib/%{name}-%{version}.tar.xz,https://gitlab.freedesktop.org/xorg/lib/libxinerama/-/archive/libXinerama-1.1.5/libxinerama-libXinerama-1.1.5.tar.gz,200,(same version),,,libXinerama,%{name},
libxkbcommon.spec,https://xkbcommon.org/download/%{name}-%{version}.tar.xz,https://xkbcommon.org/download/libxkbcommon-1.4.1.tar.xz,200,,,,libxkbcommon,%{name},
libxml2.spec,https://download.gnome.org/sources/libxml2/2.9/%{name}-%{version}.tar.gz,https://github.com/GNOME/libxml2/archive/refs/tags/v2.9.12.tar.gz,200,2.13.5,https://github.com/GNOME/libxml2/archive/refs/tags/v2.13.5.tar.gz,200,libxml2,%{name},libxml2-2.13.5.tar.gz
libXrandr.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXrandr-1.5.2.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXrandr-1.5_4.tar.bz2,0,libXrandr,libXrandr,
libXrender.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXrender-0.9.10.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXrender-0.9_12.tar.bz2,0,libXrender,libXrender,
libXScrnSaver.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXScrnSaver-1.2.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXScrnSaver-1.2_4.tar.bz2,0,libXScrnSaver,%{name},
libxshmfence.spec,https://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.gz,https://ftp.x.org/pub/individual/lib/libxshmfence-1.3.2.tar.gz,200,1.3.3,https://ftp.x.org/pub/individual/lib/libxshmfence-1.3.3.tar.gz,200,libxshmfence,libxshmfence,libxshmfence-1.3.3.tar.gz
libxslt.spec,http://xmlsoft.org/sources/%{name}-%{version}.tar.gz,https://github.com/GNOME/libxslt/archive/refs/tags/v1.1.34.tar.gz,200,1.1.42,https://github.com/GNOME/libxslt/archive/refs/tags/v1.1.42.tar.gz,200,libxslt,%{name},libxslt-1.1.42.tar.gz
libXtst.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libXtst-1.2.3.tar.bz2,0,Warning: Manufacturer may changed version packaging format.,http://ftp.x.org/pub/individual/lib/libXtst-1.2_5.tar.bz2,0,libXtst,%{name},
libyaml.spec,http://pyyaml.org/download/libyaml/yaml-%{version}.tar.gz,https://github.com/yaml/libyaml/archive/refs/tags/0.2.5.tar.gz,200,(same version),,,libyaml,,
libyang.spec,https://github.com/CESNET/libyang/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/CESNET/libyang/archive/refs/tags/v2.1.55.tar.gz,200,3.7.8,https://github.com/CESNET/libyang/archive/refs/tags/v3.7.8.tar.gz,200,libyang,%{name},libyang-3.7.8.tar.gz
