Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
ceph.spec,,12.2.13-3,,,,,,,
cereal.spec,,,,1.3.2-1,1.3.2-2,1.3.2-2,,1.3.2-1,1.3.2-1
cgroup-utils.spec,0.6-4,0.6-6,0.6-6,0.8-4,,,,,
check.spec,0.10.0-2,0.10.0-2,0.12.0-1,0.15.2-2,0.15.2-5,0.15.2-5,,0.15.2-2,0.15.2-2
checkpolicy.spec,,,,3.3-1,3.4-2,3.5-2,,3.5-1,3.5-1
chkconfig.spec,,,1.9-1,1.9-3,1.21-3,1.21-3,,1.21-2,1.21-2
chromium.spec,,,,131.0.6778.268-1,131.0.6778.268-1,125.0.6422.65-2,,131.0.6778.268-1,131.0.6778.268-1
chrony.spec,,,4.0-2,4.0-4,4.3-2,4.3-2,,4.3-2,4.3-2
chrpath.spec,0.16-1,0.16-1,0.16-1,0.16-1,0.16-2,0.16-2,,0.16-1,0.16-1
cifs-utils.spec,6.4-4,6.7-4,6.8-4,6.13-2,7.0-2,7.0-2,,7.0-1,7.0-1
clang.spec,3.9.1-1,4.0.0-2,10.0.1-4,12.0.0-1,15.0.7-5,15.0.7-5,,15.0.7-6,15.0.7-6
cloud-init.spec,0.7.9-7,0.7.9-18,22.4.2-6,24.4-1,24.4-1,24.3.1-2,,24.4-1,24.4-1
cloud-network-setup.spec,,,,0.2.2-10,0.2.2-13,0.2.2-13,,0.2.2-7,0.2.2-7
cloud-utils.spec,,0.30-3,0.30-3,0.31-2,0.32-3,0.32-3,,0.32-3,0.32-3
cmake.spec,3.4.3-5,3.8.0-5,3.13.5-2,3.18.3-8,3.25.2-6,3.25.2-6,,3.25.2-4,3.25.2-4
cmocka.spec,1.1.1-1,1.1.1-1,1.1.2-3,1.1.5-4,1.1.5-4,1.1.5-4,,1.1.5-3,1.1.5-3
cni.spec,0.7.5-6,0.7.5-14,1.1.1-9,1.1.1-12,1.1.1-13,1.1.1-13,,1.1.1-8,1.1.1-8
colm.spec,,,,0.14.7-1,0.14.7-2,0.14.7-2,,0.14.7-1,0.14.7-1
commons-daemon.spec,1.0.15-12,1.0.15-13,1.1.0-5,1.2.3-4,1.3.3-5,1.3.3-4,,1.3.3-3,1.3.3-3
commons-httpclient.spec,,,3.1-3,3.1-4,3.1-6,3.1-6,,3.1-4,3.1-4
compat-gdbm.spec,1.8.3-2,1.8.3-3,1.8.3-3,,,,,,
conmon.spec,,,,2.1.7-3,2.1.7-5,2.1.7-5,,2.1.7-1,2.1.7-1
conntrack-tools.spec,,1.4.5-1,1.4.6-2,1.4.6-4,1.4.7-4,1.4.7-4,,1.4.7-3,1.4.7-3
consul.spec,,,1.11.9-7,1.11.9-10,,1.14.8-11,,1.15.4-6,1.15.4-6
containerd.spec,,1.4.13-7,1.6.8-11,1.6.8-16,1.6.21-13,1.6.21-13,,1.6.17-11,1.6.17-11
containers-common.spec,,,,4-1,4-2,4-2,,4-1,4-1
copenapi.spec,0.0.1-1,0.0.2-3,0.0.2-3,0.0.2-3,,,,,
coredns.spec,,1.7.1-3,1.11.1-3,1.11.1-6,1.11.1-10,1.11.1-8,,1.11.1-2,1.11.1-2
coreutils-selinux.spec,,,,9.1-4,9.1-9,,,,
coreutils.spec,8.25-2,8.27-4,8.30-3,9.1-4,9.1-6,9.1-7,,9.1-7,9.1-7
cpio.spec,2.13-1,2.13-2,2.13-5,2.13-9,2.13-10,2.13-10,,2.13-8,2.13-8
cppcheck.spec,,,2.9.3-1,2.9.3-1,2.9.3-3,2.9.3-3,,2.9.3-4,2.9.3-4
cppunit.spec,1.12.1-1,1.12.1-2,1.12.1-2,1.12.1-2,1.12.1-3,1.12.1-3,,1.12.1-2,1.12.1-2
cpulimit.spec,,,1.2-1,1.2-1,2.8-2,2.8-2,,2.8-1,2.8-1
cracklib.spec,,,2.9.7-2,2.9.7-4,2.9.8-3,2.9.8-3,,2.9.8-1,2.9.8-1
crash-gcore-command.spec,,,,,,,,1.6.3-1,1.6.3-1
crash.spec,,7.1.8-1,8.0.2-1,8.0.2-2,8.0.2-6,8.0.2-6,,8.0.2-5,8.0.2-5
createrepo_c.spec,,0.10.0-1,0.11.1-6,0.16.0-10,0.20.1-8,0.20.1-8,,0.20.1-12,0.20.1-12
createrepo.spec,0.10.4-3,0.10.4-5,,,,,,,
cri-tools.spec,1.11.1-6,1.11.1-14,1.21.0-15,1.21.0-18,1.22.0-16,1.22.0-16,,1.22.0-12,1.22.0-12
cronie.spec,1.5.0-12,1.5.1-1,1.5.5-2,1.5.5-2,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2
crun.spec,,,,,1.8-8,1.8-8,,1.8-2,1.8-2
cryptsetup.spec,,,2.4.2-3,2.4.2-4,2.4.3-4,2.4.3-4,,2.4.3-4,2.4.3-4
cscope.spec,,,,,15.9-2,15.9-2,,,
ctags.spec,,,,,6.0-3,6.0-3,,,
cups.spec,,,,2.4.11-1,2.4.11-1,2.4.7-4,,2.4.11-1,2.4.11-1
curl.spec,7.78.0-2,7.86.0-3,8.1.2-9,8.7.1-4,8.7.1-7,8.7.1-7,,8.1.2-4,8.1.2-4
cve-check-tool.spec,5.6.2-2,5.6.4.1-11,5.6.4.1-11,5.6.4.1-14,5.6.4.1-18,5.6.4.1-18,,5.6.4.1-20,5.6.4.1-20
cyrus-sasl.spec,2.1.26-13,2.1.26-16,2.1.26-17,2.1.27-7,2.1.28-5,2.1.28-5,,2.1.28-5,2.1.28-5
cython.spec,0.23.4-2,0.25.2-2,0.28.5-2,,,,,,
cython3.spec,0.23.4-1,0.25.2-4,0.28.5-2,3.0a6-2,0.29.32-4,0.29.32-4,,0.29.32-2,0.29.32-2
dbus-broker.spec,,,,32-3,33-3,33-2,,33-2,33-2
dbus-glib.spec,0.106-4,0.108-1,0.110-3,0.110-4,0.112-5,0.112-5,,0.112-5,0.112-5
dbus-python.spec,,,1.2.16-1,1.2.16-5,1.3.2-3,1.3.2-3,,1.3.2-3,1.3.2-3
dbus.spec,1.13.6-3,1.11.12-2,1.13.8-4,1.13.18-5,1.15.4-6,1.15.4-6,,1.15.8-1,1.15.8-1
dbxtool.spec,,,8-1,8-1,8-3,8-3,,8-2,8-2
dcerpc.spec,,,,1.2.0-3,,,,,
ddclient.spec,3.8.3-2,3.8.3-3,3.9.1-1,3.9.0-2,3.9.1-2,3.9.1-2,,3.9.1-1,3.9.1-1
debugedit.spec,,,,,5.0-9,5.0-8,,5.0-9,5.0-9
dejagnu.spec,,1.5.3-1,1.6-1,1.6.2-1,1.6.2-3,1.6.2-3,,1.6.2-2,1.6.2-2
dejavu-fonts.spec,,,2.37-1,2.37-1,2.37-2,2.37-2,,2.37-1,2.37-1
deltarpm.spec,3.6-4,3.6.1-4,,,,,,,
device-mapper-multipath.spec,0.5.0-2,0.9.1-1,0.9.1-1,0.9.1-1,0.9.4-3,0.9.4-3,,0.9.4-2,0.9.4-2
dhcp.spec,4.3.5-6,4.3.5-8,4.3.5-10,4.4.2-6,4.4.3-3,4.4.3-3,,4.4.3-2,4.4.3-2
dialog.spec,,1.3-2,1.3-5.20180621,1.3-6.20200327,1.3-10.20220728,1.3-10.20220728,,1.3-9.20220728,1.3-9.20220728
diffutils.spec,3.3-3,3.5-3,3.6-3,3.7-2,3.8-4,3.8-3,,3.8-3,3.8-3
ding-libs.spec,,,0.6.2-1,0.6.2-1,0.6.2-2,0.6.2-2,,0.6.2-1,0.6.2-1
distcc.spec,,,,3.4-4,3.4-4,3.4-4,,3.4-3,3.4-3
distrib-compat.spec,0.1-10,0.1-12,0.1-12,0.1-2,0.1-4,0.1-4,,0.1-3,0.1-3
dkms.spec,2.2.0.3-4,2.2.0.3-4,2.6.1-2,2.8.4-1,3.0.10-3,3.0.10-3,,3.0.10-2,3.0.10-2
dmidecode.spec,3.0-2,3.0-2,3.5-1,3.5-1,3.5-2,3.5-2,,3.5-1,3.5-1
dnsmasq.spec,2.85-1,2.85-1,2.90-1,2.90-1,2.90-2,2.90-2,,2.90-1,2.90-1
docbook-xml.spec,4.5-6,4.5-8,4.5-9,4.5-9,4.5-13,4.5-13,,4.5-12,4.5-12
docbook-xsl.spec,1.79.1-3,1.79.1-5,1.79.1-8,1.79.1-8,1.79.1-11,1.79.1-11,,1.79.1-12,1.79.1-12
docker-17.06.0.spec,,17.06.0-28,,,,,,,
docker-18.06.spec,,18.06.2-21,,,,,,,
docker-18.09.spec,,18.09.9-16,,,,,,,
docker-19.03.spec,,19.03.15-12,,,,,,,
docker-buildx.spec,,,,,0.17.1-3,0.17.1-3,,,
docker-compose.spec,,,2.20.2-6,2.26.1-5,2.20.2-12,2.20.2-10,,2.20.2-5,2.20.2-5
docker-py.spec,2.3.0-2,3.5.0-1,3.5.0-1,6.0.0-1,6.0.0-5,6.0.0-5,,6.0.0-3,6.0.0-3
docker-pycreds.spec,0.2.1-1,0.3.0-1,0.3.0-1,0.4.0-2,0.4.0-3,0.4.0-3,,0.4.0-2,0.4.0-2
docker-volume-vsphere.spec,,0.12-15,,,,,,,
docker-vsock.spec,,,0.0.1-1,,,,,,
docker.spec,18.09.9-9,,24.0.5-5,24.0.9-1,27.3.1-4,27.3.1-2,,24.0.9-1,24.0.9-1
dool.spec,,,,1.2.0-1,1.2.0-2,1.2.0-2,,1.2.0-1,1.2.0-1
dos2unix.spec,,,,7.4.2-2,7.4.3-3,7.4.3-3,,7.4.3-2,7.4.3-2
dosfstools.spec,4.1-1,4.1-2,4.1-2,4.1-2,4.2-2,4.2-2,,4.2-1,4.2-1
dotnet-runtime.spec,,2.2.0-1,6.0.26-1,6.0.26-1,8.0.7-2,8.0.7-2,,8.0.7-1,8.0.7-1
dotnet-sdk.spec,,2.1.403-2,6.0.418-1,6.0.418-1,8.0.206-2,8.0.206-2,,8.0.206-1,8.0.206-1
double-conversion.spec,,,3.2.1-1,3.2.1-1,3.2.1-2,3.2.1-2,,3.2.1-1,3.2.1-1
doxygen.spec,,,1.8.20-1,1.8.20-6,1.9.5-3,1.9.5-3,,1.9.5-2,1.9.5-2
dracut.spec,044-4,045-5,048-10,050-13,059-10,059-9,,059-13,059-13
drpm.spec,,,,0.5.0-7,0.5.1-9,0.5.1-8,,0.5.2-3,0.5.2-3
dstat.spec,,,0.7.4-2,,,,,,
dtb-raspberrypi.spec,,,,5.10.4.2021.01.07-3,6.1.10.2023.02.28-2,6.1.10.2023.02.28-2,,6.1.10.2023.02.28-1,6.1.10.2023.02.28-1
dtc.spec,,,1.5.0-1,1.6.0-1,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2
duktape.spec,,,,,2.7.0-2,2.7.0-2,,2.7.0-1,2.7.0-1
dwarves.spec,,,,1.24-1,1.24-3,1.24-3,,1.24-3,1.24-3
dwz.spec,,,,,0.15-5,0.15-5,,0.15-3,0.15-3
e2fsprogs.spec,1.42.13-5,1.43.4-5,1.46.5-2,1.46.5-2,1.46.5-5,1.46.5-5,,1.46.5-3,1.46.5-3
ebtables.spec,2.0.10-3,2.0.10-4,2.0.11-2,2.0.11-2,2.0.11-3,2.0.11-3,,2.0.11-2,2.0.11-2
ecdsa.spec,0.13-3,0.13-5,0.13-5,,,,,,
ed.spec,,,1.14.2-3,1.16-2,1.19-2,1.19-2,,1.19-1,1.19-1
edgex.spec,,,0.7.1-33,2.2.0-18,,2.2.0-17,,2.2.0-12,2.2.0-12
efibootmgr.spec,0.12-2,15-1,15-1,17-1,18-3,18-3,,18-2,18-2
efivar.spec,0.20-3,31-1,36-1,37-2,38-2,38-2,,38-1,38-1
elasticsearch.spec,6.8.15-2,6.8.15-2,6.8.15-3,,,,,,
elfutils.spec,0.176-1,0.176-1,0.176-3,0.181-7,0.189-5,0.189-5,,0.189-4,0.189-4
elixir.spec,,,1.13.4-3,1.16.3-1,1.16.3-2,1.16.3-2,,1.16.3-1,1.16.3-1
emacs.spec,,,27.1-4,27.1-6,28.2-6,28.2-6,,29.4-1,29.4-1
enchant.spec,,,,,2.5.0-3,2.5.0-3,,2.5.0-1,2.5.0-1
envoy.spec,1.15.5-4,1.14.4-13,,,,,,,
erlang-sd_notify.spec,,,1.1-4,1.1-3,1.1-6,1.1-6,,1.1-5,1.1-5
erlang.spec,19.3-3,19.3-5,25.1-2,26.2.5-1,26.2.5-2,26.2.5-2,,26.2.5-1,26.2.5-1
etcd-3.3.27.spec,,,3.3.27-18,,,,,,
etcd.spec,3.4.10-3,3.5.1-7,3.5.12-2,3.5.12-5,3.5.12-8,3.5.12-6,,3.5.12-1,3.5.12-1
ethtool.spec,4.2-3,4.8-1,4.18-1,5.10-1,6.1-2,6.1-2,,6.1-1,6.1-1
eventlog.spec,0.2.12-2,0.2.12-3,0.2.12-4,0.2.12-4,0.2.12-5,0.2.12-5,,,
expat.spec,2.2.9-9,2.2.9-10,2.2.9-12,2.4.9-4,2.6.0-6,2.6.0-5,,2.6.0-1,2.6.0-1
expect.spec,5.45-2,5.45-3,5.45.4-2,5.45.4-2,5.45.4-4,5.45.4-4,,5.45.4-2,5.45.4-2
fail2ban.spec,,,,1.0.2-2,1.0.2-4,1.0.2-4,,1.0.2-3,1.0.2-3
fakeroot-ng.spec,0.18-2,0.18-2,0.18-3,0.18-3,0.18-5,0.18-5,,0.18-4,0.18-4
falco.spec,,0.15.0-4,0.31.1-9,0.36.2-1,,,,,
fatrace.spec,,0.12-2,0.13-1,0.15-1,0.15-2,0.15-2,,0.15-1,0.15-1
fcgi.spec,,2.4.0-3,2.4.0-3,2.4.0-3,,,,,
file.spec,5.38-1,5.38-2,5.38-2,5.39-3,5.43-3,5.43-3,,5.43-1,5.43-1
filesystem.spec,,,1.1-4,1.1-4,1.1-7,1.1-7,,,
findutils.spec,4.6.0-2,4.6.0-5,4.6.0-6,4.7.0-1,4.9.0-4,4.9.0-4,,4.9.0-2,4.9.0-2
finger.spec,0.17-1,0.17-2,0.17-2,0.17-3,0.17-4,0.17-4,,0.17-3,0.17-3
fio.spec,,,3.30-1,3.33-3,3.33-5,3.33-5,,3.33-3,3.33-3
fipsify.spec,,,1.0-4,,,,,,
flannel.spec,0.11.0-6,0.15.0-7,0.22.0-7,0.22.0-9,0.22.0-13,0.22.0-11,,0.22.0-7,0.22.0-7
fleet.spec,0.11.5-8,,,,,,,,
flex.spec,2.5.39-3,2.6.4-2,2.6.4-2,2.6.4-3,2.6.4-5,2.6.4-5,,2.6.4-3,2.6.4-3
font-util.spec,,,1.3.2-1,1.3.2-1,1.3.3-2,1.3.3-2,,1.3.3-1,1.3.3-1
fontconfig.spec,2.12.1-2,2.12.1-3,2.13.1-1,2.13.1-6,2.14.1-4,2.14.1-4,,2.14.1-4,2.14.1-4
fping.spec,,4.1-1,4.1-1,5.0-1,5.1-2,5.1-2,,5.1-1,5.1-1
freetds.spec,,,1.1.36-3,1.2.5-3,1.3.10-6,1.3.10-6,,1.3.10-6,1.3.10-6
freetype2.spec,2.7.1-7,2.7.1-8,2.9.1-5,2.13.0-1,2.13.0-2,2.13.0-2,,2.13.0-1,2.13.0-1
fribidi.spec,,,,1.0.9-3,1.0.12-3,1.0.12-2,,1.0.12-1,1.0.12-1
frr.spec,,,,9.1-1,9.1-3,9.1-2,,9.1-1,9.1-1
fsarchiver.spec,0.8.0-1,0.8.1-1,0.8.5-2,0.8.5-2,0.8.6-3,0.8.6-3,,0.8.6-2,0.8.6-2
fuse-overlayfs-snapshotter.spec,,,1.0.6-6,1.0.6-8,1.0.6-11,1.0.6-10,,1.0.6-5,1.0.6-5
fuse-overlayfs.spec,,,1.9-1,1.12-1,1.12-2,1.12-2,,1.12-1,1.12-1
fuse.spec,2.9.5-3,2.9.7-3,2.9.7-5,2.9.9-1,2.9.9-4,2.9.9-4,,2.9.9-3,2.9.9-3
fuse3.spec,,3.0.1-3,3.2.6-2,3.9.4-5,3.12.0-4,3.12.0-3,,3.12.0-2,3.12.0-2
gawk.spec,4.1.3-3,4.1.4-1,4.2.1-2,5.1.1-1,5.1.1-4,5.1.1-4,,5.1.1-2,5.1.1-2
gc.spec,7.4.18-1,7.6.0-1,8.0.4-2,8.0.4-2,8.2.2-3,8.2.2-3,,8.2.2-1,8.2.2-1
gcc-10.spec,,,10.2.0-2,,,,,,
gcc-12.spec,,,,12.3.0-2,,,,,
gcc-aarch64-linux-gnu.spec,,,,7.3.0-3,,,,,
gcc.spec,5.3.0-7,6.3.0-7,7.3.0-5,10.5.0-1,12.2.0-5,12.2.0-5,,12.2.0-2,12.2.0-2
GConf.spec,,,,3.2.5-2,3.2.6-3,3.2.6-3,,3.2.6-5,3.2.6-5
gcovr.spec,3.3-1,3.3-1,4.1-3,4.2-4,5.2-3,5.2-3,,5.2-3,5.2-3
gdb.spec,7.8.2-10,7.12.1-9,10.1-5,13.2-3,13.2-3,13.2-3,,11.2-9,11.2-9
gdbm.spec,1.11-2,1.13-4,1.18-1,1.19-1,1.23-4,1.23-4,,1.23-2,1.23-2
gdk-pixbuf.spec,,,,2.42.0-7,2.42.0-9,2.42.0-8,,2.42.0-4,2.42.0-4
geoip-api-c.spec,,1.6.10-1,1.6.12-1,1.6.12-2,1.6.12-4,1.6.12-3,,1.6.12-4,1.6.12-4
geos.spec,,,3.8.1-2,3.8.1-1,3.11.1-2,3.11.1-2,,3.11.1-1,3.11.1-1
getdns.spec,,,,1.7.0-2,1.7.2-2,1.7.2-2,,1.7.2-2,1.7.2-2
gettext.spec,0.19.5.1-7,0.19.8.1-2,0.19.8.1-5,0.21-4,0.21.1-4,0.22-1,,0.22.5-1,0.22.5-1
gflags.spec,,,2.2.2-1,2.2.2-1,2.2.2-2,2.2.2-2,,2.2.2-1,2.2.2-1
git-lfs.spec,,,2.12.0-26,3.2.0-9,3.2.0-15,3.2.0-13,,3.2.0-8,3.2.0-8
git.spec,2.23.3-3,2.35.5-1,2.39.4-1,2.39.4-1,2.39.4-2,2.39.4-2,,2.45.1-1,2.45.1-1
glib-networking.spec,2.46.1-3,2.50.0-3,2.59.1-6,2.66.0-8,2.74.0-5,2.74.0-4,,2.74.0-6,2.74.0-6
glib.spec,2.58.3-4,2.58.3-5,2.58.3-2,2.68.4-4,2.75.2-8,2.75.2-7,,2.75.2-4,2.75.2-4
glibc.spec,2.22-39,2.26-28,2.28-28,2.32-20,2.36-16,2.36-16,,2.36-7,2.36-7
glibmm.spec,2.47.3.1-2,2.50.1-2,2.56.0-2,2.65.3-3,2.74.0-3,2.74.0-2,,2.74.0-1,2.74.0-1
glide.spec,0.13.2-6,0.13.3-11,0.13.3-27,0.13.3-27,0.13.3-21,0.13.3-21,,0.13.3-15,0.13.3-15
glog.spec,0.3.4-2,0.3.4-3,0.3.5-2,0.6.0-3,0.6.0-4,0.6.0-4,,0.6.0-3,0.6.0-3
glslang.spec,,,,1.3.231.1-1,11.13.0-3,11.13.0-3,,11.13.0-2,11.13.0-2
gmock.spec,1.8.0-2,1.8.0-2,,,,,,,
gmp.spec,6.1.2-1,6.1.2-3,6.1.2-3,6.2.0-1,6.2.1-4,6.2.1-4,,6.2.1-2,6.2.1-2
gnome-common.spec,3.18.0-2,3.18.0-3,3.18.0-4,3.18.0-4,3.18.0-5,3.18.0-5,,3.18.0-4,3.18.0-4
gnu-efi.spec,,,,,3.0.15-3,3.0.15-3,,3.0.15-2,3.0.15-2
gnupg.spec,2.2.18-1,2.2.18-2,2.2.18-4,2.2.23-4,2.2.41-2,2.2.41-2,,2.2.27-4,2.2.27-4
gnuplot.spec,5.0.6-1,5.0.6-1,5.4.6-1,5.4.6-1,5.4.5-4,5.4.5-4,,5.4.5-3,5.4.5-3
gnutls.spec,3.6.15-3,3.6.15-4,3.6.16-7,3.7.10-3,3.7.10-5,3.7.10-5,,3.8.4-1,3.8.4-1
go-md2man.spec,,2.0.0-13,2.0.0-26,2.0.0-26,2.0.2-13,2.0.2-13,,2.0.2-8,2.0.2-8
go.spec,1.17.2-2,1.18.8-1,1.20.14-4,1.21.13-1,1.21.13-2,1.21.13-2,,1.20.12-1,1.20.12-1
gobgp.spec,1.23-8,2.9.0-11,2.9.0-27,2.20.0-26,3.1.0-18,3.1.0-16,,3.1.0-11,3.1.0-11
gobject-introspection.spec,1.46.0-7,1.52.1-17,1.58.0-29,1.66.0-30,1.74.0-18,1.74.0-17,,1.74.0-12,1.74.0-12
google-benchmark.spec,,,,,1.7.1-2,1.7.1-2,,1.7.1-1,1.7.1-1
google-compute-engine-services.spec,,20170426-1,,,,,,,
google-compute-engine.spec,,20170426-3,20180905-1,20191210-3,20191210-4,20191210-4,,20191210-3,20191210-3
google-daemon.spec,1.3.3-2,,,,,,,,
google-startup-scripts.spec,1.3.3-2,,,,,,,,
govmomi.spec,,,0.28.0-14,0.28.0-17,0.29.0-16,0.29.0-15,,0.29.0-10,0.29.0-10
gperf.spec,3.0.4-2,3.1-1,3.1-1,3.1-2,3.1-4,3.1-4,,3.1-2,3.1-2
gperftools.spec,2.5-1,2.5-2,2.7-1,2.8-1,2.10-2,2.10-2,,2.10-2,2.10-2
gpgme.spec,1.6.0-2,1.9.0-3,1.11.1-2,1.14.0-2,1.18.0-4,1.18.0-4,,1.18.0-3,1.18.0-3
gpsd.spec,,,3.25-2,3.25-2,3.25-3,3.25-3,,3.25-6,3.25-6
gptfdisk.spec,1.0.1-3,1.0.1-4,1.0.4-2,1.0.7-2,1.0.9-4,1.0.9-4,,1.0.9-3,1.0.9-3
graphene.spec,,,,1.10.8-2,1.10.8-3,1.10.8-2,,1.10.8-2,1.10.8-2
grep.spec,2.21-2,3.0-5,3.1-3,3.4-2,3.7-5,3.7-5,,3.7-3,3.7-3
groff.spec,1.22.3-2,1.22.3-2,1.22.3-2,1.22.4-1,1.22.4-2,1.22.4-2,,1.22.4-1,1.22.4-1
grpc.spec,,1.10.0-2,1.15.1-3,1.59.3-2,1.59.5-3,1.59.5-2,,1.59.3-1,1.59.3-1
grub2-theme.spec,,,,4.0-2,5.0-2,5.0-2,,5.0-1,5.0-1
grub2.spec,2.06~rc1-1,2.06~rc1-2,2.06-10,2.06-12,2.06-19,2.06-17,,2.06-12,2.06-12
gssntlmssp.spec,,,1.0.0-6,1.0.0-7,1.1.0-16,1.1.0-16,,1.1.0-15,1.1.0-15
gst-plugins-bad.spec,,,,1.25.1-1,1.25.1-1,1.22.7-4,,1.21.3-1,1.21.3-1
gstreamer-plugins-base.spec,,,,1.25.1-1,1.25.1-1,1.22.7-3,,1.21.3-2,1.21.3-2
gstreamer.spec,,,,1.25.1-1,1.25.1-1,1.22.7-2,,1.21.3-4,1.21.3-4
gtest.spec,1.8.0-2,1.8.0-2,1.8.1-3,1.10.0-2,1.12.1-4,1.12.1-4,,1.12.1-2,1.12.1-2
gtk-doc.spec,1.24-3,1.25-2,1.29-4,1.33.0-1,1.33.2-5,1.33.2-5,,1.33.2-3,1.33.2-3
gtk3.spec,,,,3.23.3-14,3.23.3-13,3.23.3-10,,3.23.3-10,3.23.3-10
guile.spec,2.0.13-1,2.0.13-2,2.0.13-3,2.0.13-4,2.2.7-7,2.2.7-7,,2.2.7-6,2.2.7-6
guile3.spec,,,,,3.0.8-5,3.0.8-5,,3.0.8-3,3.0.8-3
gzip.spec,1.6-2,1.12-2,1.12-2,1.12-2,1.12-4,1.12-4,,1.12-2,1.12-2
haproxy-dataplaneapi.spec,,,1.2.5-26,,2.7.1-17,2.7.1-15,,2.7.1-12,2.7.1-12
haproxy.spec,2.0.10-3,2.0.10-3,2.2.31-1,2.6.15-1,2.8.2-2,2.8.2-2,,2.8.2-1,2.8.2-1
harfbuzz.spec,1.4.5-1,1.4.5-1,7.0.1-1,7.0.1-3,7.0.1-3,7.0.1-3,,7.0.1-2,7.0.1-2
haveged.spec,1.9.1-4,1.9.1-4,1.9.8-1,1.9.18-1,1.9.18-3,1.9.18-2,,1.9.18-3,1.9.18-3
hawkey.spec,2014.1-6,2017.1-7,2017.1-8,,,,,,
hdparm.spec,9.51-1,9.51-3,9.56-1,9.58-1,9.65-2,9.65-2,,9.65-1,9.65-1
heapster.spec,,1.4.2-15,1.5.4-30,1.5.4-28,1.5.4-22,1.5.4-22,,1.5.4-16,1.5.4-16
help2man.spec,,,,,1.48.5-4,,,1.48.5-2,1.48.5-2
hiredis.spec,,,,1.0.2-2,1.1.0-4,1.1.0-4,,1.1.0-2,1.1.0-2
htop.spec,,,,3.1.2-1,3.2.1-3,3.2.1-3,,3.2.1-2,3.2.1-2
http-parser.spec,2.7.1-1,2.7.1-1,2.8.1-1,2.9.4-1,2.9.4-2,2.9.4-2,,2.9.4-1,2.9.4-1
httpd-mod_jk.spec,1.2.42-4,1.2.42-4,1.2.48-9,1.2.48-12,1.2.48-15,1.2.48-15,,1.2.48-13,1.2.48-13
httpd.spec,2.4.54-1,2.4.54-1,2.4.62-1,2.4.62-1,2.4.62-3,2.4.62-3,,2.4.62-1,2.4.62-1
hunspell.spec,,,,,1.7.2-2,1.7.2-2,,1.7.2-1,1.7.2-1
hwloc.spec,,,,2.3.0-2,2.8.0-3,2.8.0-3,,2.8.0-1,2.8.0-1
hyper-v.spec,,4.9-1,4.9-1,5.9-1,6.1-2,6.1-2,,6.1-1,6.1-1
hyperscan.spec,,,,5.4.0-1,5.4.0-5,5.4.0-5,,5.4.0-4,5.4.0-4
i2c-tools.spec,,,,4.2-1,4.3-2,4.3-2,,4.3-1,4.3-1
iana-etc.spec,2.30-2,2.30-2,2.30-2,2.30-2,2.30-3,2.30-3,,2.30-2,2.30-2
ibmtpm.spec,,,1628-1,1637-4,1682-2,1682-2,,1682-3,1682-3
icu.spec,,67.1-1,67.1-2,70.1-3,72.1-2,72.1-2,,72.1-1,72.1-1
ImageMagick.spec,,,7.1.1.38-1,7.1.1.38-1,7.1.1.38-2,7.1.1.38-2,,7.1.1.38-1,7.1.1.38-1
influxdb.spec,,1.8.2-3,1.8.2-12,1.8.2-26,1.8.10-15,1.8.10-13,,1.8.10-3,1.8.10-3
inih.spec,,,,,56-3,56-2,,56-1,56-1
iniparser.spec,,,,,4.1-2,4.1-2,,4.1-1,4.1-1
initramfs.spec,,2.0-4,2.0-7,2.0-7,2.0-9,2.0-9,,2.0-8,2.0-8
initscripts.spec,9.65-4,9.70-3,9.70-3,10.04-2,10.17-4,10.17-4,,10.17-4,10.17-4
inotify-tools.spec,3.13-2,3.13-2,3.13-3,3.13-2,3.13-4,3.13-4,,3.13-3,3.13-3
intltool.spec,0.51.0-2,0.51.0-3,0.51.0-3,0.51.0-5,0.51.0-8,0.51.0-8,,0.51.0-5,0.51.0-5
iotop.spec,0.6-3,0.6-5,0.6-7,0.6-8,0.6-9,0.6-9,,0.6-8,0.6-8
ipcalc.spec,,,0.4.1-1,0.4.1-1,1.0.2-2,1.0.2-2,,1.0.2-1,1.0.2-1
iperf.spec,3.1.3-1,3.1.7-1,3.14-1,3.16-1,3.17.1-2,3.17.1-2,,3.17.1-1,3.17.1-1
ipmitool.spec,1.8.18-2,1.8.18-2,1.8.18-3,1.8.18-7,1.8.19-6,1.8.19-6,,1.8.19-5,1.8.19-5
iproute2.spec,4.2.0-2,4.10.0-4,4.19.0-2,5.10.0-4,6.0.0-2,6.0.0-2,,6.0.0-2,6.0.0-2
ipset.spec,6.32-1,6.32-1,6.38-1,7.6-1,7.15-2,7.15-2,,7.15-1,7.15-1
iptables.spec,1.6.0-7,1.6.1-5,1.8.3-8,1.8.9-4,1.8.9-4,1.8.9-4,,1.8.9-3,1.8.9-3
iptraf-ng.spec,,,,,1.2.1-3,1.2.1-3,,,
iputils.spec,20151218-3,20151218-4,20180629-4,20200821-4,20221126-4,20221126-3,,20221126-3,20221126-3
ipvsadm.spec,1.29-1,1.29-1,1.29-1,1.31-1,1.31-3,1.31-3,,1.31-2,1.31-2
