referring_page,broken_link
https://192.168.225.155/blog/2021/02/24/photon-os-4.0-now-available/,https://192.168.225.155/docs-v4/whats-new//
https://192.168.225.155/docs-v5/administration-guide/security-policy/default-firewall-settings/,https://192.168.225.155/docs-v5/administration-guide/security-policy/default-firewall-settings/troubleshooting-guide/solutions-to-common-problems/permitting-root-login-with-ssh/
https://192.168.225.155/docs-v5/administration-guide/photon-rpm-ostree/installing-a-host-against-custom-server-repository/,https://192.168.225.155/docs-v5/user-guide/working-with-kickstart/
https://192.168.225.155/docs-v5/troubleshooting-guide/kernel-problems-and-boot-and-login-errors/,https://192.168.225.155/docs-v5/troubleshooting-guide/kernel-problems-and-boot-and-login-errors/troubleshooting-linux-kernel/
